tiktok_link,tiktok_description,tiktok_hashtag,username,tiktok_views,tiktok_views_full,posted_date_original,posted_date,tiktok_image,extracted_date
https://www.tiktok.com/@radiotelevisyenmalaysia/video/7203645358101073158,Tetapi tarif elektrik akan dinaikkan kepada semua syarikat besar #Belanjawan2023RTM  #MalaysiaMadani  ,#Belanjawan2023RTM #MalaysiaMadani,radiotelevisyenmalaysia,320.6K,320600,2d ago ,2023-02-25,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/o4XD7foUIJAISjeCSw5nbCQj0GAeCnHgsxsHQy?x-expires=1677448800&x-signature=YIxEIfkX4HcDlhQAR5QcgsSdr0s%3D,2023-02-27
https://www.tiktok.com/@forensik_hartanah/video/7204003582977363227,belanjawan 2023. ntah apa2. betul ke?#fyp  #pmx  #kwsp ,#fyp #pmx #kwsp,forensik_hartanah,317.9K,317900,1d ago ,2023-02-26,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oQAC5eMTe86xnwTQrbjE3RELgeDPGncIfHohEu~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/1e3573c0df6c4437bf1c75489309ead8.image?x-expires=1677448800&x-signature=J95ls4LcqSmL8BGVbBpkgiSvzYc%3D,2023-02-27
https://www.tiktok.com/@radiotelevisyenmalaysia/video/7203653708578557189,"Kelebihan buat penjawat awam, subsidi yuran taska diberikan #Belanjawan2023RTM  #MalaysiaMadani  ",#Belanjawan2023RTM #MalaysiaMadani,radiotelevisyenmalaysia,316.9K,316900,2d ago ,2023-02-25,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/58f6e785358b4602ada24b754e277e44_1677231335?x-expires=1677448800&x-signature=ndRPqYMUOpa9TrqW9XFbeL%2FLemg%3D,2023-02-27
https://www.tiktok.com/@jason.yew/video/7203668286792305947,Kerajaan carum RM500 jika simpanan KWSP kurang daripada RM10k bagi pencarum berumur 40-54 tahun #kwsp  #belanjawan2023  #MalaysiaMADANI  #PMX  #anwaribrahim  #KEADILANuntukSemua  #foryou  ,#kwsp #belanjawan2023 #MalaysiaMADANI #PMX #anwaribrahim #KEADILANuntukSemua #foryou,jason.yew,316K,316000,2d ago ,2023-02-25,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/38959773dae348a3bf3fafe47930f4a6_1677234764?x-expires=1677448800&x-signature=xX%2FTfX6CZ6WphwvwnUhxsEwIwkc%3D,2023-02-27
https://www.tiktok.com/@501awani/video/7203617379648163074,Anwar berbaju Melayu warna biru muda turun dari pejabatnya dengan beg fail bercorak tenunan songket Sarawak berisi dokumen #Belanjawan2023  #AWANInews ,#Belanjawan2023 #AWANInews,501awani,316K,316000,2d ago ,2023-02-25,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/d57bc7cd849b4186805320b98effa9dc_1677223023?x-expires=1677448800&x-signature=eMLctixhJeWnnPiocQctucVYGV0%3D,2023-02-27
https://www.tiktok.com/@drradzijidin/video/7203717612235164955,Terserempak dengan dua bekas Menteri Kewangan selepas perbentangan Belanjawan 2023. Agak-agak apa yang kami sembangkan ya? #Belanjawan2023  #foryourpage  #fyp  ,#Belanjawan2023 #foryourpage #fyp,drradzijidin,276.3K,276300,2d ago ,2023-02-25,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/bf931ed2becc4adbb0a42d715a11c21c_1677246217~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/42c9480dafba4bacbf36b831df200225.image?x-expires=1677448800&x-signature=RZtVb6%2BDeVzNhp2F15hlZHVffko%3D,2023-02-27
https://www.tiktok.com/@emma.advisera/video/7203662381761793307,Rancang kewangan sebaik mungkin dgn peluang kedua ini. Ambil perlindungan pendapatan dgn TAKAFUL HIBAH. #belanjawan2023  #bajet2023  #malaysiamadani  #takaful  #takafulawareness  #takafulinfo  ,#belanjawan2023 #bajet2023 #malaysiamadani #takaful #takafulawareness #takafulinfo,emma.advisera,254.7K,254700,2d ago ,2023-02-25,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/okLyIeDnwsbGFTqDjHI4EkYQMe8rjrAee5EsUg?x-expires=1677448800&x-signature=RXbHYqpHnbRoBurRGtO6DHRVeKk%3D,2023-02-27
https://www.tiktok.com/@501awani/video/7203635213312855298,Hutang negara akan menjangkau RM1.2 trillion lebih 60 peratus KDNK bagi tahun 2023 - PM @anwaribrahimofficial  #Belanjawan2023 ,#Belanjawan2023,501awani,250.2K,250200,2d ago ,2023-02-25,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/cc2823543dbc41fba6b7a2f77f38ef9d_1677227191?x-expires=1677448800&x-signature=CCrycblQKZu%2FeXJ4el9pt20gszI%3D,2023-02-27
https://www.tiktok.com/@selangortv/video/7203666076968815899,"""Kerajaan tanggung bayaran ujian  memandu lesen motosikal kelas B2, lesen teksi, bas dan e-hailing.""  - PM Anwar Ibrahim  #Belanjawan2023  #malaysiamadani  #anwaribrahim  ",#Belanjawan2023 #malaysiamadani #anwaribrahim,selangortv,249.3K,249300,2d ago ,2023-02-25,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/9125a90ccc274862b619357a20305fc8_1677234216~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/b79e1faabc874792922b769464e53d99.image?x-expires=1677448800&x-signature=BDHDnlnYWnQq2JfSndcMDQLrXz0%3D,2023-02-27
https://www.tiktok.com/@selangortv/video/7203735171835677978,Kerajaan akan membina lebih 7 ribu unit rumah mampu milik di bawah Program Satu Anggota Satu Rumah (SASaR) di Kuala Lumpur - PM Anwar Ibrahim #MalaysiaMadani  #Belanjawan2023  #pmx  #anuaribrahim  #MediaSelangor  ,#MalaysiaMadani #Belanjawan2023 #pmx #anuaribrahim #MediaSelangor,selangortv,246.7K,246700,2d ago ,2023-02-25,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oIHso46DMVI8eevHAMCQrzI8XbrH6uEeGnSEgf~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/fa11897d5b714f12b886cd71e1e3c4a6.image?x-expires=1677448800&x-signature=OPfTAL%2FNmQI8DICSUQ36aVTpyJA%3D,2023-02-27
