comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
"walaun : ini bukan pasal gaji, ini pasal prinsip, jgn ulangi kerajaan yg lama, saya bukan sokong parti mana2 , saya bukan bias",@zenseia,SapaCare ,0,0,4h ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
Betul ke tarak gaji?,@wakdonno345,Dinsman ,0,0,4h ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
ok. jelas. Maksudnya lebih kurang kepada penasihat peribadi PMX,@veediayusof,veediayusof|ghostwriter ,0,0,4h ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
Pelan² Allah tunjukkan,@usernoya02,noya ,0,0,4h ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
😳😳😳😂😂😂😂😂😂😂😂😏😏,@user543526327,RosBTS ,0,0,5h ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
🥰,@kulin1966,kulin1966 ,0,0,5h ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
tp kroni. amk le anak org lain,@adikadik7229,adikadik7229 ,0,0,5h ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
Pelakon dlm umno ni dia sebenar,@kimiekelly77,kimiekelly77 ,0,0,5h ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
😁😁,@paklahve,PakLahve ,0,0,5h ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
haha.. rasa2nya ada tak org yg berjuta yg layak jadi penasihat kewangan tanpa gaji?? 😂😂,@badul507,badul ,0,0,5h ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
kerajaan anak beranak..ha³ agak² lh..,@kakibola1231,kakibola1231 ,0,0,5h ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
😂😂😂😂,@ghazalisharudin,Ghaz ,0,0,5h ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
Kalau tya raja pon.. mesti raja sokong.. tak nmpk pon masalahnya kat situ,@assean_97,Shawn ,1,0,5h ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
🥰🥰🥰🥰🥰,@latifahalias8,latifahalias8 ,0,0,5h ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
agar penjelasan tetap tak akan diterima pakai sbb ada unsur unsur Ain yg tak menerima kecuali dari pihak mereka shj.,@user9441539665556,user9441539665556 ,0,0,6h ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
Walaun panas hati. Penasihat menteri bukan penjawat awam. Semua menteri berhak lantik penasihat kementerian masing-masing.,@meihazq,Miehazq ,1,0,6h ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
Kroni bro🤣🤣🤣,@hards3303,Hards ,0,0,6h ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
"nurul xde kes, lulusan john hopkins. dlm parlimen pon tak merapu",@kaiserfariz,Kaixin ,0,0,6h ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
😂😂😂,@pijai1986,pijai86 ,0,0,6h ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
"betul tu, persoalan ramai yang layak tapi sanggup ke kerja tanpa Gaji??",@abahhensem76,Amir76 ,0,0,6h ago ,2023-01-30,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,5923,1356,574,20h ago 
