comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link
saya pun sokong nurul izzah🥰🥰🥰🥰jadi penesihat bapak die .pm dsai terbaik untuk malaysia🥰,@abngroker,Abank Roker ,0,0,2023-2-4,2023-02-04,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9741,1832,843,2023-1-30,378.2K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675530000&x-signature=vkULt%2F%2BNwcZS5vrSKjygbDKlpoo%3D
sokong Nurul Izzah 🥰,@granitegrey09,GRANITE GREY ,1,0,2023-2-4,2023-02-04,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9741,1832,843,2023-1-30,378.2K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675530000&x-signature=vkULt%2F%2BNwcZS5vrSKjygbDKlpoo%3D
"alaun je X bayar, gaji Ada present Ada..PM ckp alaun saja X de",@azroyteaoroy,Azroy Tea O Roy ,0,0,2023-2-4,2023-02-04,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9741,1832,843,2023-1-30,378.2K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675530000&x-signature=vkULt%2F%2BNwcZS5vrSKjygbDKlpoo%3D
😏,@pakdin_axia8204,PAKDIN_AXIA8204 ,0,0,2023-2-4,2023-02-04,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9741,1832,843,2023-1-30,378.2K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675530000&x-signature=vkULt%2F%2BNwcZS5vrSKjygbDKlpoo%3D
"Yg msh dok fhm2 tu,Dengar memolek na...",@hmmuhammad9,hmMuhammad99 ,0,0,2023-2-4,2023-02-04,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9741,1832,843,2023-1-30,378.2K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675530000&x-signature=vkULt%2F%2BNwcZS5vrSKjygbDKlpoo%3D
😂😂😅😁,@rahimlatif738,rahimlatif738 ,0,0,2023-2-4,2023-02-04,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9741,1832,843,2023-1-30,378.2K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675530000&x-signature=vkULt%2F%2BNwcZS5vrSKjygbDKlpoo%3D
🥰🥰🥰,@mankt123,Mankt1 ,0,0,2023-2-4,2023-02-04,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9741,1832,843,2023-1-30,378.2K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675530000&x-signature=vkULt%2F%2BNwcZS5vrSKjygbDKlpoo%3D
Terbaik dsai,@jinmsjinms,Jinms Jinms ,1,0,2023-2-3,2023-02-04,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9741,1832,843,2023-1-30,378.2K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675530000&x-signature=vkULt%2F%2BNwcZS5vrSKjygbDKlpoo%3D
"ada menteri tu, anak tk de apa2 jawatan pun dlm kerajaan, tapi menimbun dpt laba... 😏",@burn3693,Abg Burn ,1,0,2023-2-3,2023-02-04,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9741,1832,843,2023-1-30,378.2K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675530000&x-signature=vkULt%2F%2BNwcZS5vrSKjygbDKlpoo%3D
🥰🥰,@sue5368__,sue5368__ ,0,0,2023-2-3,2023-02-04,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9741,1832,843,2023-1-30,378.2K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675530000&x-signature=vkULt%2F%2BNwcZS5vrSKjygbDKlpoo%3D
tq,@leyasmalik,Leyasmalik🇲🇾 ,0,0,2023-2-3,2023-02-04,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9741,1832,843,2023-1-30,378.2K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675530000&x-signature=vkULt%2F%2BNwcZS5vrSKjygbDKlpoo%3D
Goreng,@anip89,user1896229219819 ,0,0,1d ago ,2023-02-04,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9741,1832,843,2023-1-30,378.2K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675530000&x-signature=vkULt%2F%2BNwcZS5vrSKjygbDKlpoo%3D
"Still, tetap ada unsur conflict of interest... Tak perlu manipulate sgt konon tak bergaji... kalau rahsia kerajaan bocor, dia blh disabit...",@1__abgchik__1,DaDDyChuPi ,1,0,1d ago ,2023-02-04,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9741,1832,843,2023-1-30,378.2K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675530000&x-signature=vkULt%2F%2BNwcZS5vrSKjygbDKlpoo%3D
tahniah Nurul,@adukapablo,Aduka Pablo ,1,0,1d ago ,2023-02-04,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9741,1832,843,2023-1-30,378.2K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675530000&x-signature=vkULt%2F%2BNwcZS5vrSKjygbDKlpoo%3D
"Let her do something good for her Nation, plz value good things human being do. Have positive thaughts, good vibe, focus on development.",@chessbliss,WOLVERINE ,1,0,1d ago ,2023-02-04,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9741,1832,843,2023-1-30,378.2K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675530000&x-signature=vkULt%2F%2BNwcZS5vrSKjygbDKlpoo%3D
tahniah Nurul izah semoga dpt menjalankan tugas dgn yg terbaik utk rakyat semua.. semoga Allah permudahkan segala urusan kamu amin3..,@sany_kingcoconut,Sany ,3,0,1d ago ,2023-02-04,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9741,1832,843,2023-1-30,378.2K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675530000&x-signature=vkULt%2F%2BNwcZS5vrSKjygbDKlpoo%3D
mcm mna dia makan klau tiada gaji 😳,@jabatkilat,جابت کيلت ,0,2,2d ago ,2023-02-04,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9741,1832,843,2023-1-30,378.2K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675530000&x-signature=vkULt%2F%2BNwcZS5vrSKjygbDKlpoo%3D
betul setuju..abis menteri lain klu discuss kat rumah ngn isteri dia cmna,@brokhalif,bROKhALif ,0,0,2d ago ,2023-02-04,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9741,1832,843,2023-1-30,378.2K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675530000&x-signature=vkULt%2F%2BNwcZS5vrSKjygbDKlpoo%3D
Lokman yg ni Sya setuju cakap awak😁😂😳,@matjasmi475,Mat Jasmi475 ,1,0,2d ago ,2023-02-04,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9741,1832,843,2023-1-30,378.2K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675530000&x-signature=vkULt%2F%2BNwcZS5vrSKjygbDKlpoo%3D
bagus anwar dan nurul izzah,@pakkusaiflorist,Pak Kusai Florist ,1,0,2d ago ,2023-02-04,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9741,1832,843,2023-1-30,378.2K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675530000&x-signature=vkULt%2F%2BNwcZS5vrSKjygbDKlpoo%3D
klou anak yg nasehat ayah mesti hati lembut.,@kastelopanjang,anek agam machoo ,0,0,2d ago ,2023-02-04,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9741,1832,843,2023-1-30,378.2K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675530000&x-signature=vkULt%2F%2BNwcZS5vrSKjygbDKlpoo%3D
hahahaha..spin jugak,@mohdkamal375,mohdkamal ,1,0,2d ago ,2023-02-04,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9741,1832,843,2023-1-30,378.2K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675530000&x-signature=vkULt%2F%2BNwcZS5vrSKjygbDKlpoo%3D
yg ni saya setuju,@zaizuriomar,zurikanang ,1,0,2d ago ,2023-02-04,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9741,1832,843,2023-1-30,378.2K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675530000&x-signature=vkULt%2F%2BNwcZS5vrSKjygbDKlpoo%3D
