tiktok_link,tiktok_description,tiktok_hashtag,username,tiktok_views,posted_date,tiktok_image,extracted_date
https://www.tiktok.com/@saudagar7store/video/7194103553718258970,"Sebelum ini bagai tiada lantikan pelik² berlaku, Sekarang Ramai terkejut🤣 #fyp  #fypシ  #nurulizzahanwar  #lokmanadam  #pmx  ",#fyp #fyp #nurulizzahanwar #lokmanadam #pmx,saudagar7store,383.9K,2023-01-29,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675854000&x-signature=4coRj%2B%2FXdV0oPuKKEKyo6tPEMTs%3D,2023-02-08
https://www.tiktok.com/@mooda.my/video/7194376150649441562,"Haritu cakap lain, harini jadi lain pulak. Amacam ni Datuk Seri? #mooda  #edutainment  #fyp  #trending  #politik  #pmx  #nurulizzahanwar  #nepotisme  #anakberanak  ",#mooda #edutainment #fyp #trending #politik #pmx #nurulizzahanwar #nepotisme #anakberanak,mooda.my,248K,2023-01-30,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/f08336acf7324d968077dbe324c945e9_1675071260~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/1211bfb1fb244d64b45c7a308422eb92.image?x-expires=1675854000&x-signature=7A5qIdx%2BVgyT9XeUbar%2FOYVypws%3D,2023-02-08
https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,#shouldbeme  Nurul Izzah dilantik sebagai penasihat ekonomi PM #geng_economist  #akantetapi  #economics  #21kunci  ,#shouldbeme #geng_economist #akantetapi #economics #21kunci,nazrihamdan,146.6K,2023-01-29,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/5bcbf1b2fab14f7eb11b7e173ffb50ee_1674992768~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/d7bc3117b5ca46e6abeabd2f86620dcb.image?x-expires=1675854000&x-signature=K5h9rVsZH4Grb83OYVIIa1y%2FUk8%3D,2023-02-08
https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,#anwaribrahim  #nurulizzahanwar  #pkr  #nepotisme  #pakatanharapan  #perdanamenteri  #menteriekonomi  #malaysia  #fyp  ,#anwaribrahim #nurulizzahanwar #pkr #nepotisme #pakatanharapan #perdanamenteri #menteriekonomi #malaysia #fyp,thaqibshaker,488.7K,2023-01-29,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675854000&x-signature=0i0OpUUe7LhbxFulP4YiL8s%2BoXU%3D,2023-02-08
https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,"Comel je tengok gelagat anak dengan bapak macam nie 😂 Nurul Izzah dilantik sebagai Penasihat Kanan Ekonomi dan Kewangan kepada Perdana Menteri Malaysia, Dato Seri Anwar Ibrahim #nurulizzah  #anwaribrahim  #dsai  #pakatanharapan  #fypシ  #foryou  #foryourpage  ",#nurulizzah #anwaribrahim #dsai #pakatanharapan #fyp #foryou #foryourpage,funnyhippopotamus,570.6K,2023-02-02,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/8ba79301c3e54c298f19aa14fb8dad59_1675245952~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/d6ea58013d93463db02adfd8bf8e9502.image?x-expires=1675854000&x-signature=28RF1VZBiH366d7fyPaHlvFKhmY%3D,2023-02-08
https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,Nurul Izzah tidak dibayar elaun/gaji Sebagai Penasihat kanan PM - DSAI #pmx  #anwaribrahim  #malaysiamadani  #fyp  #kerajaanperpaduan  #fypシ  ,#pmx #anwaribrahim #malaysiamadani #fyp #kerajaanperpaduan #fyp,dsai.pmx,492.5K,2023-01-30,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/6fe055d7fc9f4cb19a0ff5e59c7f3d1d_1675062727~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/00ce289b7fda4a4ab8ec2e710d8df4bc.image?x-expires=1675854000&x-signature=0mtR1uf4MWb72XaINm5X40BJ%2F00%3D,2023-02-08
https://www.tiktok.com/@ratunaga/video/7194729114736151834,,#,ratunaga,265.7K,2023-02-01,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/okEZVZIgefAeuDZoOCrJCsbqyfnBGEBQGCBH6x?x-expires=1675854000&x-signature=vErcCm0BXQanvnhwtval3DKmPZg%3D,2023-02-08
https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,Macam kena baju dengan berita.. 😅 #fyp  #fypシ  #fyppppppppppppppppppppppp  #fyppppppppppppppppppppppp  #tiktokmalaysia  ,#fyp #fyp #fyppppppppppppppppppppppp #fyppppppppppppppppppppppp #tiktokmalaysia,the_sleepyhead90,307.8K,2023-01-30,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675854000&x-signature=4tqpuCdnJ0%2B3z7iI2DBB2T2%2BZ4s%3D,2023-02-08
https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,Anuar(MOF) minta tolong Izzah.. Izzah bagi nasihat.. Anuar (MOF) jumpa Anuar (PM) .. pusing kt situ jugak,#,studiogombaksetia,77.8K,2023-01-31,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oUD1YjfBr9khC4fVVFIBWbAPO8QN8tPXhj1Epz?x-expires=1675854000&x-signature=oEiDzGJ4pnaB%2FbopcUo5LtL%2FCvs%3D,2023-02-08
https://www.tiktok.com/@jason.yew/video/7194059149716507930,"""Nurul Izzah tidak dibayar gaji/elaun sebagai Penasihat Kanan PM"" - PM Anwar #penasihat  #nurulizzahanwar  #PMX  #MalaysiaMADANI  #KerajaanPerpaduan  #DSAIPM10  #anwaribrahim  #KEADILANuntukSemua  #foryou  ",#penasihat #nurulizzahanwar #PMX #MalaysiaMADANI #KerajaanPerpaduan #DSAIPM10 #anwaribrahim #KEADILANuntukSemua #foryou,jason.yew,489.6K,2023-01-29,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/718dc500cdbd4f9da28e3ff2a6fc2490_1674997430?x-expires=1675854000&x-signature=EiXN3Xb2O8%2FfyAFPx5H7FomJ1vE%3D,2023-02-08
https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,#nurulizzahanwar  #penasihat  #ekonomi  #kewangan  #pm10  #anwaribrahim  #pakatanharapan  #ph  #madani  ,#nurulizzahanwar #penasihat #ekonomi #kewangan #pm10 #anwaribrahim #pakatanharapan #ph #madani,muhdtarmizisik,766.9K,2023-01-29,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/owDDUZnMeTmJ1dWwmVcKAB2CfVXEIPBbQjnErD?x-expires=1675854000&x-signature=4cHaQ7ZfvDb%2FQGpzRKbdi9qlmeU%3D,2023-02-08
https://www.tiktok.com/@ainurhassim/video/7195181136845229318,,#,ainurhassim,12.9K,2023-02-02,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675854000&x-signature=KTM0toPymAqJpBhLLKxsJX%2B5uRY%3D,2023-02-08
