comment,username,nickname,likes,noOfRepliedComments,avatar,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,video_caption
mcm la adik lim guan eng dilantik sbg timb menteri pdidikan.kpm siap sediakn penerbangan sewa khas😁,@junefadhlinamonjo2,aufaa hannan ,119,5,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/0b1e4b5a1d7d46562aebf7dd494af9bb~c5_100x100.jpg?x-expires=1675918800&x-signature=H5I1PJmVFoKVkSsCs2ABbNZM7kw%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.7K,1904,666,2023-01-29,766.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/owDDUZnMeTmJ1dWwmVcKAB2CfVXEIPBbQjnErD?x-expires=1675854000&x-signature=4cHaQ7ZfvDb%2FQGpzRKbdi9qlmeU%3D,#nurulizzahanwar  #penasihat  #ekonomi  #kewangan  #pm10  #anwaribrahim  #pakatanharapan  #ph  #madani  
my anak dan bini= MADANI,@yas_ser91,YAS_ser91 ,57,0,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1675918800&x-signature=5Ftb%2FD2PMOXp7gOPlm1i3oFlbCk%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.7K,1904,666,2023-01-29,766.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/owDDUZnMeTmJ1dWwmVcKAB2CfVXEIPBbQjnErD?x-expires=1675854000&x-signature=4cHaQ7ZfvDb%2FQGpzRKbdi9qlmeU%3D,#nurulizzahanwar  #penasihat  #ekonomi  #kewangan  #pm10  #anwaribrahim  #pakatanharapan  #ph  #madani  
kronl juga,@m.khairatmanap,m.khairatmanap ,52,5,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7129362767751938075~c5_100x100.jpg?x-expires=1675918800&x-signature=T2TTJWfwzYUHwVsN2UR9JObk%2BZs%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.7K,1904,666,2023-01-29,766.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/owDDUZnMeTmJ1dWwmVcKAB2CfVXEIPBbQjnErD?x-expires=1675854000&x-signature=4cHaQ7ZfvDb%2FQGpzRKbdi9qlmeU%3D,#nurulizzahanwar  #penasihat  #ekonomi  #kewangan  #pm10  #anwaribrahim  #pakatanharapan  #ph  #madani  
sap penasihat kiri plk 😂😂😂 cba teka sblum bocor😂😂😂,@hasrihasri09,Hasri Hasri ,37,6,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1631604920072194.jpg?x-expires=1675918800&x-signature=uIyFA9kzp7WbJKM69f8tBdcwNO4%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.7K,1904,666,2023-01-29,766.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/owDDUZnMeTmJ1dWwmVcKAB2CfVXEIPBbQjnErD?x-expires=1675854000&x-signature=4cHaQ7ZfvDb%2FQGpzRKbdi9qlmeU%3D,#nurulizzahanwar  #penasihat  #ekonomi  #kewangan  #pm10  #anwaribrahim  #pakatanharapan  #ph  #madani  
ada keja tak mau gaji.semua tak ambik gaji,@semerahpadi363,ABG_SAYAP_BERDARAH🇲🇾 ,11,2,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/0ef559ca4038e8a3ece297ffe8d1236e~c5_100x100.jpg?x-expires=1675918800&x-signature=j9ZM5rnlmeJbl5%2BsC%2BWsZpQi4tE%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.7K,1904,666,2023-01-29,766.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/owDDUZnMeTmJ1dWwmVcKAB2CfVXEIPBbQjnErD?x-expires=1675854000&x-signature=4cHaQ7ZfvDb%2FQGpzRKbdi9qlmeU%3D,#nurulizzahanwar  #penasihat  #ekonomi  #kewangan  #pm10  #anwaribrahim  #pakatanharapan  #ph  #madani  
Dunia depa punya 😌,@nadjira_ahmad,Nadjira Ahmad ,19,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/feb16db9b728d982118c2e60b082b017~c5_100x100.jpg?x-expires=1675918800&x-signature=QUR8r5xMYi5i9884CRf2O8e2dbo%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.7K,1904,666,2023-01-29,766.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/owDDUZnMeTmJ1dWwmVcKAB2CfVXEIPBbQjnErD?x-expires=1675854000&x-signature=4cHaQ7ZfvDb%2FQGpzRKbdi9qlmeU%3D,#nurulizzahanwar  #penasihat  #ekonomi  #kewangan  #pm10  #anwaribrahim  #pakatanharapan  #ph  #madani  
Ini ini parahh ni ha ha ha 😅,@ed8139,ed8139 ,17,1,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/50dcd2eaa1d46e8b83b5def9d67f73fc~c5_100x100.jpg?x-expires=1675918800&x-signature=a5yPvQ3S7X9hIBBfRPVXyM4ohVk%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.7K,1904,666,2023-01-29,766.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/owDDUZnMeTmJ1dWwmVcKAB2CfVXEIPBbQjnErD?x-expires=1675854000&x-signature=4cHaQ7ZfvDb%2FQGpzRKbdi9qlmeU%3D,#nurulizzahanwar  #penasihat  #ekonomi  #kewangan  #pm10  #anwaribrahim  #pakatanharapan  #ph  #madani  
tak kisah anak beranak ke ape..yg penting dia DPT jabatan tu dri kerjaya dan usaha Izzah sendiri.....🥰,@zahnainara3,Zahna inara ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/60124fc656084bd3de261a3507fe6d9b~c5_100x100.jpg?x-expires=1675918800&x-signature=NS%2BHDsu5LVZo5u3LlY36pzeubGE%3D,2023-02-06,2023-02-08,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.7K,1904,666,2023-01-29,766.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/owDDUZnMeTmJ1dWwmVcKAB2CfVXEIPBbQjnErD?x-expires=1675854000&x-signature=4cHaQ7ZfvDb%2FQGpzRKbdi9qlmeU%3D,#nurulizzahanwar  #penasihat  #ekonomi  #kewangan  #pm10  #anwaribrahim  #pakatanharapan  #ph  #madani  
lama lagi nk 5 taun nokk,@lokimasam,lokimasam ,0,0,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/6890750645939208198.jpg?x-expires=1675918800&x-signature=3aGRADgo0mP%2BorQGQ%2BeKD23b00g%3D,2023-02-03,2023-02-08,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.7K,1904,666,2023-01-29,766.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/owDDUZnMeTmJ1dWwmVcKAB2CfVXEIPBbQjnErD?x-expires=1675854000&x-signature=4cHaQ7ZfvDb%2FQGpzRKbdi9qlmeU%3D,#nurulizzahanwar  #penasihat  #ekonomi  #kewangan  #pm10  #anwaribrahim  #pakatanharapan  #ph  #madani  
"ouh manusia nie layak dapat jawatan dgn usaha dye selama nie...masa najib,mahathir xbole anak beranak...mantap",@moshi.ai,Mashi Moshi ,0,0,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1626171504236546.jpg?x-expires=1675918800&x-signature=CCFrFTwPnKMBbycLTcX%2FCgUf9DQ%3D,2023-02-03,2023-02-08,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.7K,1904,666,2023-01-29,766.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/owDDUZnMeTmJ1dWwmVcKAB2CfVXEIPBbQjnErD?x-expires=1675854000&x-signature=4cHaQ7ZfvDb%2FQGpzRKbdi9qlmeU%3D,#nurulizzahanwar  #penasihat  #ekonomi  #kewangan  #pm10  #anwaribrahim  #pakatanharapan  #ph  #madani  
