comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_likes
Rafizilah yg menarik semula sokongan kpd PH setelah nama PH tercalar akibat pemerintahan tun..,@kuburiyun,habibers ,0,0,2022-12-4,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
saya sokong penuh,@zt_ny,zetyneny ,0,0,2022-12-4,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
keh3..hantar datuk jo je..😂😂😂,@fahmihazim82,fahmihazim82 ,0,0,2022-12-4,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
"i suka hannah, she seems people person n sincere.",@missroboxo,missRobo ,0,0,2022-12-4,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
hmm🗿,@nicknyme,nyme ,0,0,2022-12-3,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
PM TAK SEPATUTNYA MENJADI FINANCE MINISTER. MUST BE SEPARATE ENTITY,@johnjinka_,JOHN ,0,0,2022-12-3,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
Betul❤️,@adoress22,AdoreSs22 ,0,0,2022-12-3,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
kecuali keluarga Tun Mahathir saja yang terbaik,@vanessawong83,Vanessa Wong83 ,0,0,2022-11-30,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
Sbb Rafizi lah aku tolak PH,@noriss_sayang77,kakjang196 ,0,0,2022-11-30,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
he is knowledgeable,@siewlui0729,siew lui ng ,0,0,2022-11-29,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
