comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_likes
dia tahu rakyat malaysia senang di pergunakan untuk menang pilihanraya.. dia tak salah..dia hnya nk menang pilihanraya..,@fz8446,f z ,0,0,1w ago ,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂😂😂😂😂,@a.wanggg10,A.Wanggg ,0,0,1w ago ,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
shhhhhhh-hhhh-hhh..ahhhh lega haihhhhh😂,@djinnz_iffryt,الجني إفريت ,0,0,1-22,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂😂😂,@mr_terro,mr_terro ,0,0,1-22,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂😂😂😂😂,@rey_hilal7real,Rey Hilal ,0,0,1-20,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂😂,@areman46,Areman30 ,0,0,1-6,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂😂😂😂,@wshaiful,WanShaiful ,0,0,1-6,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂😂😂😂😂😂😂😂😂,@user4291716996554,sham ,0,0,1-5,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
Tu pun ramai bersorak LG..klu die berucap....,@ramlibinburger,user3691640631677 ,0,0,1-4,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
@Rafizi 😏,@uninvitedjoker,Yuzwan ,0,0,1-4,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
Spin. Haha,@syawaljamil,encik S | CikguTakaful | ,1,0,1-3,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂😂😂😂,@s.banu_,sahid86 ,0,0,1-2,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂😂😂😂,@.blackojack1,Blacko Jack ,0,0,2022-12-31,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂😂😂😂,@burgergenji,BurgerGenji ,0,0,2022-12-30,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
poooddaaaaaaa,@tokabah71,user8877038875318 ,0,0,2022-12-30,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂😂😂😂😅😅😅😂😂😂,@zul_xain,Zulkifliozain ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂😂😂😂😂😂,@iz_all_83,IZ_ALL ,0,0,2022-12-23,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
Berputar putar terussss😅,@hamba_576,Multiple Biz ,0,0,2022-12-22,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂😂😂,@qtechpartners9,RAFIEE ,0,0,2022-12-21,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂,@b055_far,B055FAR ,0,0,2022-12-21,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂😂😂😂😂😂,@tanyayumna,Nizam Shafie ,0,0,2022-12-20,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
Uturn 😂,@zahieradha,Zahier Adha ,0,0,2022-12-19,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
