comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_likes
menteri putar alam..lnsung x bole pakai...,@mdm_dy,DeeYan💕 ,0,0,1w ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
talk is cheap,@iyoko_rafi,nrz🌷 ,0,0,1w ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
awak dengar cakap agung atau tidak .rafizi dengar titah Agung jangan kepanasan,@mainsalbangkit,mainsalbangkit ,0,0,1w ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
😂😂😂,@abehighway,Abehighway ,0,0,1w ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
sapa suruh percaya dgn. org politik,@raja.min,raja.min ,0,0,1w ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
5 tahun lagi malaysia tk perlu lagi pemimpin tkyoh g ngudi 😏,@k4cung14,〽️4NNN ,0,0,1w ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
xlama tuu...menteri cap 🐓...,@eiiyannpng07,PenungguRimba ...07png ,1,0,1w ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
Xkesahla nk gabung gn sape..MENTERI EKONOMI tu kuasa beso.swuh tlong taye opr disuwuhye kite taye bank negara sendri🤦‍♀️.aku keje pakgad xkn nk jmpe.,@miqa_miqael,Miqa_MiqaeL ,0,0,1w ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
"politik x bleh percaya 100% bang, nma pun politik mesti kelentong punya",@geeopik000,"geeopik"" ",0,0,1w ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
Tetapi turun Padang untuk tahu Rakyat dapat menikmati faedah dari pada kerajaan baru,@cdfestus,cdfestus ,0,0,1w ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
😂😂😂😂,@abggaschannel,Gas Komposit Channel ,0,0,1w ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
Kerajaan TIDAK BERKUALITI,@spendarabakk,██████████████████ ,0,0,1w ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
😅😅😅😅😅😅,@liana_najwa,liana_najwa ,0,0,1w ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
Biarlh ap orng nk ckp,@tihamid3,@Tihamid333 ,0,0,1-22,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
Semua sbb ada kepentinggan sanggup buat apa saja😏,@ira8010,Mas8108 ,0,0,1-22,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
rafizi terbaik.. yg dok kecam tu hgpa jaa...,@kedahlanie,Kedah Lanie ,4,0,1-20,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
@wemedia:abis kamu nak kerajaan Malaysia terus tergantung ke atau sebenarnya kamu nak UMNO sokong kamu PN.,@pu13717718,wemedia ,0,0,1-18,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
Move on,@user2706992642247,waro othman ,0,0,1-18,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
Sudah2 la,@user2706992642247,waro othman ,0,0,1-18,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
Standard la menteri PH..baru tau ka?,@user2290598072601,user2290598072601 ,0,0,1-17,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
