tiktok_link,tiktok_description,tiktok_hashtag,Username,Views,posted_date,extracted_date
https://www.tiktok.com/@jason.yew/video/7096449136035106075,ini sebab kenapa UMNO takut sangat dengan Rafizi Ramli #BeraniSemuka  #SinarHarian  #YakiniRakyat  #AyuhMalaysia  #RafiziRamli  #rafizi4timbalan  #KEADILAN  #tolakkhemahbesar  #KEADILANuntukSemua  #foryou ,#BeraniSemuka #SinarHarian #YakiniRakyat #AyuhMalaysia #RafiziRamli #rafizi4timbalan #KEADILAN #tolakkhemahbesar #KEADILANuntukSemua #foryou,jason.yew,130.2K,2022-5-11,2023-01-30
https://www.tiktok.com/@jason.yew/video/7154356592874409243,"Masalah tak selesai tapi sebut nama Rafizi hari2, jangan la takut! #undiPH  #saravanan  #menterisumbermanusia  #rafiziramli  #AyuhMalaysia  #IniUsahaKita  #keadilan  #partikeadilanrakyat  #pakatanharapan  #keadilanuntuksemua  #foryou  ",#undiPH #saravanan #menterisumbermanusia #rafiziramli #AyuhMalaysia #IniUsahaKita #keadilan #partikeadilanrakyat #pakatanharapan #keadilanuntuksemua #foryou,jason.yew,417.3K,2022-10-14,2023-01-30
https://www.tiktok.com/@jason.yew/video/7150478380255743259,Rafizi berani bongkar skandal2 besar demi Rakyat #DSAI  #anwaribrahim  #rafiziramli  #ayuhmalaysia  #iniusahakita  #nadirakyat  #reformasi  #KEADILAN  #keadilanuntuksemua  #foryou  ,#DSAI #anwaribrahim #rafiziramli #ayuhmalaysia #iniusahakita #nadirakyat #reformasi #KEADILAN #keadilanuntuksemua #foryou,jason.yew,239.2K,2022-10-4,2023-01-30
https://www.tiktok.com/@jason.yew/video/7128775133166193947,Najib nak cuci tangan skandal RM9 bilion kapal perang #kapalperang  #skandalLCS  #LittoralCombatShip  #BousteadNavalShipyard  #BNS  #najibrazak  #rafiziramli  #ayuhmalaysia  #yakinirakyat  #KEADILAN  #PKR  #KEADILANuntukSemua  #foryou ,#kapalperang #skandalLCS #LittoralCombatShip #BousteadNavalShipyard #BNS #najibrazak #rafiziramli #ayuhmalaysia #yakinirakyat #KEADILAN #PKR #KEADILANuntukSemua #foryou,jason.yew,501.8K,2022-8-6,2023-01-30
https://www.tiktok.com/@jason.yew/video/7156944865459244314,Rafizi akan bongkar skandal setiap hari mulai hari penamaan #PRU15  #undiPH  #KitaBoleh  #AyuhMalaysia  #rafiziramli  #pakatanharapan  #partikeadilanrakyat  #keadilanuntuksemua  #foryou  ,#PRU15 #undiPH #KitaBoleh #AyuhMalaysia #rafiziramli #pakatanharapan #partikeadilanrakyat #keadilanuntuksemua #foryou,jason.yew,160.3K,2022-10-21,2023-01-30
https://www.tiktok.com/@jason.yew/video/7157977221666311450,Rafizi cabar Ketua Puteri UMNO tanding di Parlimen Pandan #PRU15  #undiPH  #KitaBoleh  #rafiziramli  #AyuhMalaysia  #pakatanharapan  #partikeadilanrakyat  #keadilanuntuksemua  #foryou  ,#PRU15 #undiPH #KitaBoleh #rafiziramli #AyuhMalaysia #pakatanharapan #partikeadilanrakyat #keadilanuntuksemua #foryou,jason.yew,285.4K,2022-10-24,2023-01-30
https://www.tiktok.com/@detruthchannel/video/7121237575003688218,Rafizi Jawab Kebimbingan PKR ekoran kritikan kerasnya #kongresnasionalpkr2022  #rafiziramli  #anwaribrahim ,#kongresnasionalpkr2022 #rafiziramli #anwaribrahim,detruthchannel,128.8K,2022-7-17,2023-01-30
https://www.tiktok.com/@malaysiatimes/video/7140286600675708186,Skandal penyelewengan kapal LCS. Rakyat harus ingat dan kubur kan mereka yang terlibat dalam skandal ini pada pilihan raya akan datang!   #AnwarIbrahim  #Reformasi  #Kongres16  #AmiruddinShaari  #AdamAdli  #KongresKeadilan  #AthonyLoke  #NurulIzzahAnwar  #KamilMunim  #DrDzul  #RafiziRamli  #KeadilanRakyat  #Keadilan  #PKR  #PakatanHarapan  #AyuhMalaysia  #Seangkatan  #fyp  #foryourpage ,#AnwarIbrahim #Reformasi #Kongres16 #AmiruddinShaari #AdamAdli #KongresKeadilan #AthonyLoke #NurulIzzahAnwar #KamilMunim #DrDzul #RafiziRamli #KeadilanRakyat #Keadilan #PKR #PakatanHarapan #AyuhMalaysia #Seangkatan #fyp #foryourpage,malaysiatimes,290.9K,2022-9-6,2023-01-30
https://www.tiktok.com/@jason.yew/video/7151348695613721882,Bagi undi kpd Rafizi kalau dia bertanding di Pandan - Kak Wan #kakwan  #wanazizah  #pandan  #rafiziramli  #AyuhMalaysia  #IniUsahaKita  #KEADILAN  #keadilanuntuksemua  #foryou  ,#kakwan #wanazizah #pandan #rafiziramli #AyuhMalaysia #IniUsahaKita #KEADILAN #keadilanuntuksemua #foryou,jason.yew,196.3K,2022-10-6,2023-01-30
https://www.tiktok.com/@potretkehidupan84/video/7138300356320152859,Khairy pernah ya kena marah dengan Kak Wan. Jangan main2 dengan kak wan. Dalam lembut ada tegasnya  #kakwan  #ayuhmalaysia  #pru15  #sajat  #khairyjamaluddin  #rafiziramli  #rafiziramli  #anwaribrahim  #nurulizzahanwar  #wanazizah  #nurulizzah ,#kakwan #ayuhmalaysia #pru15 #sajat #khairyjamaluddin #rafiziramli #rafiziramli #anwaribrahim #nurulizzahanwar #wanazizah #nurulizzah,potretkehidupan84,648.1K,2022-9-1,2023-01-30
