comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_likes
Nak formula cara letak kertas atas meja,@veteranmalaysia,pak abu ,0,0,4d ago ,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
ala ucuk ucukkk anje anjee je dier erkk.coo cubit 😂,@whitecoffee85,whitecoffee ,0,0,4d ago ,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
terduduk,@rookie_poweell,Rookie_poweell ,0,0,4d ago ,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
nampakkk nauu otak pembangkang still on😂😂,@mrriver3,MR RIVER😃 ,0,0,4d ago ,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
Neverse yeee😂😂,@t_i_kt_ok_us_e_r,T_i_kTok-U$e_R ,0,0,6d ago ,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
walaun cai PH okey ke tak tu...formula rapiji mcm ludah jatuh ke muka sendiri😁😁😁,@bos_taurus_89,Bos ,0,0,1w ago ,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
Dan beberapa percakapan itu terbang bersama dengan angin~🌪️وَبَعْضُالقَوْلِ يَذْهَبُفِي الرِّيَاحِ 🌪️# KAKI KENCENG CAKAP TAK SERUPA BIKIN,@bulyahm,BuLYAHM ,0,0,1-19,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
sy difahamkan harga bunga cengkih dinaikan sebab ada kepentingan ahli politik pada tahun 3220,@apidzhamzah,apidz hamzah ,0,0,1-18,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
buang la suara gelak ni,@muhamadsyideeroslan,Muhamad Syidee Roslan ,0,0,1-11,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
🥰,@abgbest83,HR ,0,0,1-4,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
white🐷,@fizi_yb,fizi_yobozz ,0,0,1-4,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
menteri kartun...macai2 ph suka kartun😂😂😂,@joekid796,joekid796 ,0,0,1-4,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
"Menteri Kewangan Datuk Seri Anwar Ibrahim berkata, beliau mempunyai dokumen yang mengaitkan Perikatan Nasional (PN) dengan dana syarikat judi....",@bayunusantara952,bayunusantara952 ,0,0,1-4,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
"Mike tlampau byk,kurang kn mike biar sponser Mike tkt nk letak byk2😂",@anoknago5beradik,"""PAPA ARYOUNG"" ",0,0,2022-12-30,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
menteri SAYA DIFAHAMAKAN...😂😂😂😂😂#ketuaformula,@yomat90,kelopak hitam ,0,0,2022-12-28,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
mat sasauuu..jem otakkk banyak sgt formula dlm otakkkk🤣🤣🤣🤣,@dafila822,dafila822 ,1,0,2022-12-27,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
"dulu masa kempen,.ckp turunkan harga barangla,.itula inila..menteri tin kosong,skrg pandai pula ckp jgn mkn ayam klu mahal..memang hancingla..",@user4588893621498,user4588893621498 ,0,0,2022-12-27,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
ape nak jadi menteri bodoh ni adoiiii😁😁😁,@allim_zalina,allim_zalina ,0,0,2022-12-27,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
lama sangat jadi bangkang Mike pun dia xbiasa. cian.....,@syahsaharudin,kiku@kuki ,0,0,2022-12-26,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
rafizi kena jujur aja situasi kartel sm kerajaan jd rykt paham dn cr penyelesainya mcm mn ke dpn masa pendek dn masa panjang rykt akn paham,@norazamisamat11,norazamisamat1 ,0,0,2022-12-26,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
