comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_likes
jgn bg tau bang..sbb PHancing mmg hancing ...mne mau nye jjur,@silameninggal01,off acc ,0,0,4d ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
Hero yang zero😏,@dubeks_9610,HANGKEBUN ,0,0,5d ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
Klau kat kilang ak.. org yg pangkat Executive ni.. org yg naik berdasarkan pgalaman kerja operasi.. Dan yg tidak mpunyai dip Dan deg,@firdauskareem,FirdausKareem ,0,0,5d ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
😂,@tchlangkawi,TCH Langkawi ,0,0,5d ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
PH pun korupt juga😂😂😂,@gixers2458,rozzmajeed Razz ,0,0,5d ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
"Raja formula❌
Raja putar belit✔️",@amirvrs4848,amirVRS4848 ,1,0,6d ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
Sembang terbang,@chefobie,ChefObie ,1,0,6d ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
Lapiji ni yidola PH..,@justmethankyou4,Just Me Thank You ,0,0,6d ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
@Rafizi ya ke ni Malu kita😂,@utamazihar,Yang Mulia Saudagar A ,0,0,1-19,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
Assalamualaikum tuan,@ahmadzaiyanbleman,zaiyanleman ,0,0,1-17,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
kalau dah biasa kencing...bila dia kencing org dah perkara biasa bagi dia,@user1545181931940,user1545181931940 ,1,0,1-8,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
kulit kutip je...rupanya ya...hebat,@azhammdleham,azhammdleham ,0,0,1-7,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
My highly respect only to those who speak the truth!!! So,@autaman123,Zairol Kamizi ,0,0,1-5,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
Alhamdulillah pn terbaik,@mohamadisaidris72,mohamadisaidris72 ,0,0,1-4,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
xhabis2 lg ke?,@alkmaaraz,alkmaar az ,0,0,2022-12-31,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
"org dah check, Rafizi cakap memang betul",@idnepp,idne ,0,0,2022-12-29,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
😄ada masa dia diatas akan ada masa dia di bawah 😄😄😄😄biarkan dia,@honey_dew97,HoneyDew (ADMIN SSRC) ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
menteri kaki spin,@ucangdhani,NurAlieyaDania ,2,0,2022-12-21,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
malang nasib negaraku dpt pemimpin kaki kencing. salahkan pengundi yg memilih.,@amorman1000,zackdear ,1,0,2022-12-21,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
PH terbaik,@sitimasriyani83,sitimasriyani83 ,0,0,2022-12-20,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
