comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_likes
mengapa kerajaan terdahulu x tepikir idea bijak ni..payah nk jumpa menteri cerdik mcmni..,@pojisanbetta,pojisanbettacafe ,996,0,2022-12-23,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7180327170697465115,7383,5530,2741,2022-12-23
"ahmad maslan brat doh,berat lg rafizi",@maliquerich,maliquerich ,429,0,2022-12-23,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7180327170697465115,7383,5530,2741,2022-12-23
masa kerajaan lama punya lah lantang berkata kerajaan tak pandai nak buat.tapi bila dah berkuasa ini jer kemampuan seorang menteri.,@mfazlis78,ilzaf zafri ,618,0,2022-12-23,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7180327170697465115,7383,5530,2741,2022-12-23
Aku da start beli kambing.. Xmkn ayam dah..,@asapkepul,Asap Kepul ,275,0,2022-12-23,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7180327170697465115,7383,5530,2741,2022-12-23
maksudnya rakyat jela yg kena ambil tindakan sendiri. menteri takyah buat apa2. sebelum jadi menteri bukan main mcm2 formula keluar. hampeh menteri.,@jalanterus5,jalan terusss ,360,0,2022-12-23,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7180327170697465115,7383,5530,2741,2022-12-23
aku pn bole jd menteri klaw level mcm ni😂😂😂,@internetsloww,ceodiriku ,179,0,2022-12-23,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7180327170697465115,7383,5530,2741,2022-12-23
Ini yg macai tgu ni😄😄,@mfm_amaya84,mfm_amaya84 ,216,0,2022-12-23,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7180327170697465115,7383,5530,2741,2022-12-23
aku jer yg ketawa dgn lawak dia,@ruziyati_kamil,ruziyati_kamil ,96,0,2022-12-23,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7180327170697465115,7383,5530,2741,2022-12-23
wahai menteri jika nak cakap aje anak aku pun pandai turun ke ke pasar tengok harga di pasar ada kah harga turun ke naik .menteri mkan gaji duirakyat,@ahamadjoharipakma,ahamadjoharipakma ,0,0,1d ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7180327170697465115,7383,5530,2741,2022-12-23
😂😂😂😂😂😂,@.blackojack1,Blacko Jack ,0,0,2d ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7180327170697465115,7383,5530,2741,2022-12-23
😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,@mohamedzainuden,mohamedzainuden ,0,0,4d ago ,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7180327170697465115,7383,5530,2741,2022-12-23
