comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_likes,video_comments,video_shared
"boley ek depa wat kerasssss je....kering btol ati....
#kwspbersasar",@siscomey0,Sis Comey ,2,0,1d ago ,2023-01-28,5356,288,355
letih dah.,@MS4wLjABAAAA1jtMxteuYV3jvwj217QfKnYtmW1IJyxDlyrHmA-eaHHR82xFZJ8xOEszwI5PEmwi,user637001 ,0,0,1d ago ,2023-01-28,5356,288,355
semoga kwsp 2.0 ni diluluskan Kami tertekan skrg,@linda_lin486,Linda Lin486 ,0,0,1d ago ,2023-01-28,5356,288,355
Permudahkanlah.....jangan persulitkan lagi keadaan kami ini#kwspbersasar,@fazzyie,fazzyie79 ,0,0,1d ago ,2023-01-28,5356,288,355
mohon campur tangan NGO luar negara,@sukmaadinata85,sukmaAdinata85 ,0,0,1d ago ,2023-01-28,5356,288,355
Laki saya kata kalau boleh buat kluar 50k nk selesai umah terus kat bank kurang lah beban bayar bulan2 semoga ada rezeki,@wawaridzuan1993,Wawa Ridzuan ,4,0,1d ago ,2023-01-28,5356,288,355
semoga dipermudahkan KWSP2.0,@acushida,@acushida_73🍂🍁 ,0,0,1d ago ,2023-01-28,5356,288,355
share link please🙏🙏🙏,@suhainanorman,suhainanorman(coachkurus) ,0,0,1d ago ,2023-01-28,5356,288,355
ya allah permudahkan la urusan kwsp bersasar sgera,@srielvina5,Mayang5 ,1,0,1d ago ,2023-01-28,5356,288,355
semoga dipermudahkan KWSP2.0,@user9127037667532,user9127037667532 ,1,0,1d ago ,2023-01-28,5356,288,355
amin,@eylaishal,@eylaishal ,0,0,1d ago ,2023-01-28,5356,288,355
semoga dipermudahkan segala urusan kwsp 2.0...,@arosnaida,@eida ahmad ,0,0,1d ago ,2023-01-28,5356,288,355
semoga di hari jumaat ni ade rezeki pencarum,@user3846052248198,user3846052248198 ,0,0,1d ago ,2023-01-28,5356,288,355
"semoga dipermudhkn urusan ,
#kwsp bersasar",@zarahsepi,zarahsepi ,1,0,1d ago ,2023-01-28,5356,288,355
tolong lah luluskan kwsp,@ramlahalimohd,Ramlahalimohd ,1,0,1d ago ,2023-01-28,5356,288,355
Semoga segera diluluskan kwsp 2.0 Allahumma aamiin,@hamba_576,Multiple Biz ,4,0,1d ago ,2023-01-28,5356,288,355
RM50K one off,@capt.jacksparrow76,@tukkeb@y@n ,4,0,1d ago ,2023-01-28,5356,288,355
tlg lah rakyat yg memerlukan..mcm saya ibu tunggal ..,@hasleena112,ina ,2,0,1d ago ,2023-01-28,5356,288,355
semoga dipermudahkan kwsp bersasar.,@rozanalinaalinain,Mummy ish ,1,0,1d ago ,2023-01-28,5356,288,355
"Hri2 bdoa smoga cepat la d luluskan,🥺",@nuralsoufi87,Nur87❤️❤️❤️ ,0,0,1d ago ,2023-01-28,5356,288,355
#kwspbersasar,@pk.tamzack,Zack77 ,0,0,1d ago ,2023-01-28,5356,288,355
kesiannya yg pencarum bawah 5k .. ada harapan ke utk mereka keluarkan ?,@mummiesoftwo,❤️ PIKAA ❤️ ,1,0,1d ago ,2023-01-28,5356,288,355
smpi bila lh...nk luluskn..nk tggu smua rakyat mampus bru nk luluskn ke,@zainunmokhtar,Zainunmokhtar🥰🥰 ,1,0,1d ago ,2023-01-28,5356,288,355
tolonglah percepatkan kwsp,@anoraanora577,anoraanora577 ,0,0,1d ago ,2023-01-28,5356,288,355
smpi mcm ni skali kerajaan melayan rakyat yg menyokong diaorng jd kerajaan..ni kah balasan kerajaan yg dikatakan menjaga rakyat ssh???😏😏😏😏,@user95054945671871azri,rakyat penattt ,1,0,1d ago ,2023-01-28,5356,288,355
smoga ada sinar harapan buat pencarum yg menunggu,@hudanaim83,hudanaim83 ,0,0,1d ago ,2023-01-28,5356,288,355
harap dipermudahkan ..lama dah tunggu ni..,@jusasamkunyitmama,awin ,0,0,1d ago ,2023-01-28,5356,288,355
kerjaan tolong la lulus kn kwsp..itu duit rakyat sndri bukan duit krjaan knpa susah sngt nak lulus kan,@shafiqwl07,S H A F I Q 🙆 ,0,0,1d ago ,2023-01-28,5356,288,355
Harap Dipermudahkan,@awal_mustaqim86,Awal Mustaqim Awal ,0,0,1d ago ,2023-01-28,5356,288,355
tolong lulukan kwsp nk byr hutang 2 ini susah sgh ini nk byr hutang 2,@user4952655299261,user4952655299261 ,1,0,1d ago ,2023-01-28,5356,288,355
