comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_likes,video_comments,video_shared
"Btl ke ni, dpt kuar 20k pun jadi la",@sasaresources,Puspa ,0,0,1d ago ,2023-01-28,29K,1243,2799
surirumah yg dh lama tk mencarum dn berumur 55thn kebwh bg keluar semua senang nk buat modal berniaga.,@juramli,juramli ,0,0,1d ago ,2023-01-28,29K,1243,2799
Aaminn🤲🤲 Semoga dipermudahkan urusan kali ni.. semoga dapat kelulusan keluar KWSP kali ni🤲,@cikayu85,Cik Ayu♥️ ,0,0,1d ago ,2023-01-28,29K,1243,2799
@intan berduri ni yg dimaksudkan,@nastykids_,Hadi Safuan ,1,0,1d ago ,2023-01-28,29K,1243,2799
👍,@yennn_6,yen Racun TiktokShop💼✨ ,0,0,1d ago ,2023-01-28,29K,1243,2799
x kan terjadi,@mell0ooooooo,Mell0_0 ,0,0,1d ago ,2023-01-28,29K,1243,2799
da boleh mohon ko,@siakap_viral,SIAKAP VIRAL ,1,0,1d ago ,2023-01-28,29K,1243,2799
klu dpt ni settle loan alza fuhhh legaaa bebas utang dh,@houseofperfumes_88,Lynn Beautyshop ,0,0,1d ago ,2023-01-28,29K,1243,2799
seriusss ke ni?? x baik buat main2😅😅😅,@dyamonghafar,dya ghafar ,1,0,1d ago ,2023-01-28,29K,1243,2799
boleh renovate rumah,@arya.moon,meegorengbasah ,0,0,1d ago ,2023-01-28,29K,1243,2799
klw boleh keluarkann.. keluarkan 1off 20k baki ada dalam I akaun Masi ada 45k ...SY nak beli ysuku,@mister_lagas,Mr_Lagaz*-* ,0,0,1d ago ,2023-01-28,29K,1243,2799
tak dpt 30k 10k pon alhmdulillah 🤲🏻,@mamairaz,Norsyakila Ismail ,0,0,1d ago ,2023-01-28,29K,1243,2799
Boleh kahwin cepat 🙃,@garlicnancheese,zulfazli ,0,0,1d ago ,2023-01-28,29K,1243,2799
bg je lah.. nk buat rumah oii.dpt jugak settle sebijik rumah...,@faeeqahannan,F A R 🎀 ,0,0,1d ago ,2023-01-28,29K,1243,2799
Tolong la luluskan… senak kepala otak ni… bagi rm150+300 tak ckup la.. bwk p speedmart sat je hbs beli barang dapo 😅,@kakramung,ZuraZuki ,1,0,1d ago ,2023-01-28,29K,1243,2799
😳ini betul ke,@teleportationnurul,𝕾𝖔𝖔𝕵𝖎𝖓🕊️ ,0,0,1d ago ,2023-01-28,29K,1243,2799
@wanndezzuppp @johnweed629 stemby 😂,@binjitttt,𝑨𝒅𝒏𝒂𝒏𝑪𝒓𝒆𝒔𝒑𝒐 ,0,0,1d ago ,2023-01-28,29K,1243,2799
"cpt la umum dividen, pastu blh da umum utk pengeluaran..",@haerye189,sanji-kun needs robin ,0,0,1d ago ,2023-01-28,29K,1243,2799
macam mana nak mohon? maaf newbie lagi,@alesbeban,Ales ,1,0,1d ago ,2023-01-28,29K,1243,2799
harap2 betul. banyak nak bayar hutang itu hutang ini. Dgn nak kene keluar rumah bulan puasa 🥺,@unaaa_27,Unaaa. ,0,0,1d ago ,2023-01-28,29K,1243,2799
sahih ke tk ni?,@bayley0220,AizamNotFound ,0,0,1d ago ,2023-01-28,29K,1243,2799
nak kuarkan nk Repair Keta asyik rosak je..tkda kereta ssh jugak dgn ank kcik ni ..stay plak Raintown mmg Keta tu keperluan ye🙆 TLG la luluskan..,@manja.tpg,IBU RAISHA🌸 ,1,0,1d ago ,2023-01-28,29K,1243,2799
mcm mana nak mohon,@user4173023123619,user4173023123619 ,0,0,1d ago ,2023-01-28,29K,1243,2799
mmg harap sgt sbb nk buat prsiapan nk bersalin nnt,@noraisyahnor93,Ecahway ,1,0,1d ago ,2023-01-28,29K,1243,2799
please buat laaa brapa2 pun..jnji dpt byr komitmen yg terakhir ni😭,@nynandy93,nynandy93 ,0,0,1d ago ,2023-01-28,29K,1243,2799
@cilipotong ni haritu awk nk,@akmalizanatasha_1,Tasha’s ,0,0,1d ago ,2023-01-28,29K,1243,2799
Mohon Kerajaan keluarkan semua akaun 1 dan 2 sekaligus,@sabahanusedcar,BOSS USED CAR ,1,0,1d ago ,2023-01-28,29K,1243,2799
boss ini bila blh ambil punya wg,@ncw4433,ncw ,0,0,1d ago ,2023-01-28,29K,1243,2799
dah confirm ke,@costnerdiow,costnerdiow ,0,0,1d ago ,2023-01-28,29K,1243,2799
"Paktam suami saya meninggal umur 54 tahun , takdan merasa mujur dan rasa isinar ilestari tu.. pastu tinggal dekat seratus ribu jgk la takdan rasa🥺",@_azilaaaa,Azila Legacy ,1,0,1d ago ,2023-01-28,29K,1243,2799
hrp bole laa..nk settle kn hutang kete..pastu xnk ada hutang dah…,@sophia_lai6,sophia155 ,1,0,1d ago ,2023-01-28,29K,1243,2799
Harap diluluskan ya. mmg nak fikir hari tua. tp masalahnya yg skrg ni pening fikir. sampai gadai emas nk byr keperluan 😅,@nrsmksn,. ,2,0,1d ago ,2023-01-28,29K,1243,2799
@pitthashim mcm ada manis² je,@mra.arffin,Mira Ariffin ,0,0,1d ago ,2023-01-28,29K,1243,2799
kalau dah boleh mohon untuk keluar kan kwsp roger2 naaaa🥺,@akmaaa99,SaidatulAkma ,0,0,1d ago ,2023-01-28,29K,1243,2799
desak anwar letak jawatan,@johnrambokoa,JohnRambo ,2,0,1d ago ,2023-01-28,29K,1243,2799
bethulll skrg makin byk komitmen rasa mcm memgemis duit sendiri,@ctaiqa88,ZulaiqaMeen ,0,0,1d ago ,2023-01-28,29K,1243,2799
betul ke dah lulus kwsp???,@shavina_pink36,💞Shavina🕉️ 💞 ,0,0,1d ago ,2023-01-28,29K,1243,2799
zaman abah jgk boleh kluarkn kwsp. kalau tak harommm😂,@nanaafauzi,@Nanaafauzi ,1,0,1d ago ,2023-01-28,29K,1243,2799
Tetap bersemangat Tututan KWSPBERSASAR,@alanzsarawak,AlanSARAWAK ,0,0,1d ago ,2023-01-28,29K,1243,2799
SILA HADIR,@hazarizzammarzuki,Hazarizzam Marzuki I ,0,0,1d ago ,2023-01-28,29K,1243,2799
100k one off 😁,@abelongii,abelongii ,0,0,1d ago ,2023-01-28,29K,1243,2799
moga dipermudahkan,@mamazalila74,MamaZalila/lifestyle.makmak ,0,0,1d ago ,2023-01-28,29K,1243,2799
"#KwspBersasar
#KwspBersasar
#KwspBersasar
#KwspBersasar
#KwspBersasar",@mizzelle1974,eLLe ,1,0,1d ago ,2023-01-28,29K,1243,2799
30k one off segera diluluskan segera....,@iwanera89,e-one ,0,0,1d ago ,2023-01-28,29K,1243,2799
macammana nak apply??,@joeyooi02,joeyooi ,1,0,1d ago ,2023-01-28,29K,1243,2799
info mana dapat pm10 belom beritahu lagi boleh ke tak boleh,@user6049617311449,Mohd Izuan bin azmi ,3,0,1d ago ,2023-01-28,29K,1243,2799
saya still nak perjuangkan asal kwsp 2.0 bersasar bkn setakat rm30K je..itu hak saya..buat apa nk simpan kat kwsp kalau duit sendiri ssh nk dpt!,@anne55152,Anna😎 ,0,0,1d ago ,2023-01-28,29K,1243,2799
Salam abng2 .. dh boleh keluarkan ke ?,@ayubjunior20,AyuB ShAh ,0,0,1d ago ,2023-01-28,29K,1243,2799
Org ckp duit ni simpanan utk masa tua. Tp tah sempat tak nak merasa. Apa kata luluskan je😂,@aish.md,aishahamid ,3,0,1d ago ,2023-01-28,29K,1243,2799
Sda p KWSP belum ada lagi kebenaran untk pengeluaran,@miezzliey,HyL~Li3ya✨🤍 ,0,0,1d ago ,2023-01-28,29K,1243,2799
Sya nak selesai hutang atleast hutang bersih sya hidup aman mgkin bole sampai tua .. tp skrg hidup dlm stress takut tak sempat tua dh pergi dulu,@emayusnitasiregar,Ema Yusnita Siregar ,2,0,1d ago ,2023-01-28,29K,1243,2799
mcm mana nak mohon,@norainggg_,Ainn 🌹 ,2,0,1d ago ,2023-01-28,29K,1243,2799
bukan tak fikir time tua tp saje nak berjoli2 😂,@zaradan_,ZARA DAN ,0,0,1d ago ,2023-01-28,29K,1243,2799
30k amboi 😂,@nishah42,nisha ,0,0,1d ago ,2023-01-28,29K,1243,2799
dh boleh Mohon info2 ya...,@wanannuur,wan annur ,0,0,1d ago ,2023-01-28,29K,1243,2799
boleh apply sdh kah ?,@_khsnlkm,KhsnlKhtmh ,0,0,1d ago ,2023-01-28,29K,1243,2799
wahh betul ke ni,@putraalnazri,Putra ,0,0,1d ago ,2023-01-28,29K,1243,2799
harap lulus lah... xdpt 10k one off pn 5k pn jdlah😔,@nurulieda_89,Nurulieda_nurul ,0,0,1d ago ,2023-01-28,29K,1243,2799
Semoga Allah permudahkan urusan pengeluaran kwsp bersasar ini dgn segera....aamiin,@jue1307,jue1307 ,0,0,1d ago ,2023-01-28,29K,1243,2799
😳😳😳,@mekk_singa,☞︎︎︎🅢︎🅗︎🅐︎☜︎︎︎ ,0,0,1d ago ,2023-01-28,29K,1243,2799
Dah boleh apply ke ? Mcm mana nak apply ?😅,@niaaaaaaaaaa265,niabundlestore.co ,1,0,1d ago ,2023-01-28,29K,1243,2799
srsla ni,@nr.hfzhs,Fiza | FF Empire ,0,0,1d ago ,2023-01-28,29K,1243,2799
aku nak clearkan hutang tu jee 🥺,@sheeraramlee,Sheera Ramlee ,1,0,1d ago ,2023-01-28,29K,1243,2799
serius lo,@yansa532,yansa532 ,1,0,1d ago ,2023-01-28,29K,1243,2799
nk mohon kt ne,@s.hanna__,𝐡 𝐚 𝐧 𝐧 𝐚 . ,2,0,1d ago ,2023-01-28,29K,1243,2799
smga LULUS,@sabhatun,user5928624825720 ,1,0,1d ago ,2023-01-28,29K,1243,2799
banyak Tu klu 30k one off ...klu betul syukur..,@yusmawati1976,yusmawati Mohammad jusoh 1976 ,1,0,1d ago ,2023-01-28,29K,1243,2799
please 30k 🥺🥺🥺setelkan utng semua,@arillvtec,@arillvtec8102 ,2,0,1d ago ,2023-01-28,29K,1243,2799
"semoga lulus,,aamin ya Allah ya mujib.. sekurang-kurangnya dapat langsaikan segala hutang.",@88_syamira,user290776494834 ,2,0,1d ago ,2023-01-28,29K,1243,2799
Bole dah kut nk kahwin@aidilsani🎰,@mhdsyamin,Syamin🍟 ,1,0,1d ago ,2023-01-28,29K,1243,2799
mcmmna nk mohon,@_.ajixm,🅰️JIMM ,1,0,1d ago ,2023-01-28,29K,1243,2799
50K terbaik... 30K hmmm tapi syukurlah kannnn,@sue_love_nodt_jeff_bible,Sue_Love_Nodt_Jeff_Bible ,2,0,1d ago ,2023-01-28,29K,1243,2799
betul ker,@devabala.11,devabala.11 ,1,0,1d ago ,2023-01-28,29K,1243,2799
lulus jaa terus simpan kat tabung haji lagi senang 😅,@akirayueki69,Muhammad Rakin ,2,0,1d ago ,2023-01-28,29K,1243,2799
wahh🥰,@ndut_gendut02,aydahshop15 ,1,0,1d ago ,2023-01-28,29K,1243,2799
tipis rasanya nk kluarkan kwsp apa ingt mudh krjaan skrg nk bg kita bermimpi jala disiang hri,@f4rglobal,F4RGLOBAL ,4,0,1d ago ,2023-01-28,29K,1243,2799
bila date bole aply ni😂nk aply jgk,@ir_alynn,ir Alynn ,2,0,1d ago ,2023-01-28,29K,1243,2799
yes yes boleh kawin sudah😂,@iyesssme,nrshhhhhh ,1,0,1d ago ,2023-01-28,29K,1243,2799
Date untuk bawa keluar tu bila,@mimihiya5,CUTE ,1,0,1d ago ,2023-01-28,29K,1243,2799
Haaaa ini maciam😂,@faizajamaluddin,FAIZAJAMALUDDIN MamaIJA ,1,0,1d ago ,2023-01-28,29K,1243,2799
10k pun jadi cepat sikit,@razlanrazlan01,Razlan Razlan755 ,1,0,1d ago ,2023-01-28,29K,1243,2799
habis suda hahahahah,@loganpunya,LoganPunya ,1,0,1d ago ,2023-01-28,29K,1243,2799
🥰,@suramtoram07,SuramtoRam ,0,0,1d ago ,2023-01-28,29K,1243,2799
klu kali ni klu dapat keluarkn kwsp.trus buat rumah biar 1blik kbtulan bujang forever alone je😂kumpul dngn adik bradik buat dkt tanah mak.aamiin,@ciknor_dila,ciknor@dila ,2,0,1d ago ,2023-01-28,29K,1243,2799
Simpan utk hari tua🥰,@ownergift,☠️No_Name☠️ ,1,0,1d ago ,2023-01-28,29K,1243,2799
@Emelin Chen nah,@jcyerin,J.L.Y❤️ ,1,0,1d ago ,2023-01-28,29K,1243,2799
hrp boleh keluarkan. banyak komitmen ni weiiii 😭😭 barang semua naik. gaji gitu jugak. anak sekolah lagi. yg kecik pampers susu 🤕🤕,@mawar_faaeq,mawar_faaeq ,4,0,1d ago ,2023-01-28,29K,1243,2799
betul ke?,@eyrasyaheyra,Eyraa Aziz 🧸🤍 ,0,0,1d ago ,2023-01-28,29K,1243,2799
@syaaaa🌸 boleh belanje adik shopping la lpsni🥰,@asyasamsudin,A S Y A 🤍 ,1,0,1d ago ,2023-01-28,29K,1243,2799
