comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_likes,video_comments,video_shared
mahu ke dia keluarkan 10k🤭,@shukrishukri6406,Shukri Shukri6406 ,0,0,1d ago ,2023-01-28,4361,315,191
letakbjawatan,@eimanamaniqhalish,eimanamaniqhalish ,0,0,1d ago ,2023-01-28,4361,315,191
anwar dulu lantang desak keluarkan kwsp sekarang da jadi kerajaan terus membisu...hari berganti hari bulan berganti bulan...,@reezsym,reezsym ,1,0,1d ago ,2023-01-28,4361,315,191
btl ka in,@larrywatielarrywa0,larry ,0,0,1d ago ,2023-01-28,4361,315,191
30k one off,@ducthkin,zam zegon ,1,0,1d ago ,2023-01-28,4361,315,191
susah ye anuar nk dgr rintihan rakyat,@ahmadnorirfan6115237,Ahmad Nor545 ,1,0,1d ago ,2023-01-28,4361,315,191
kami pencarum kWSP Akan tetap UNDI pH pada PRN/PRU nanti walaupun dipiijak bertubi2,@basgaranmunusamy,basgaran ,0,0,1d ago ,2023-01-28,4361,315,191
#kwsp bersasar..moga di permudahkan untuk rakyat..,@user9429195691137,anuar ,0,0,1d ago ,2023-01-28,4361,315,191
saya nk klur semua epf saya tersebut semuanya dipermudakan sebab saya tiada perkerjaaan sekarang,@lucefier5,lucefier5 ,0,0,1d ago ,2023-01-28,4361,315,191
ckup aiiihhh....klu bw klr pn ada bal lg acc 1&2. klrkn pn demi kelangsungan hidup. #kwsp2.0,@zurainizue75,Zuraini Abd Ghani Zu ,0,0,1d ago ,2023-01-28,4361,315,191
luluskan pengeluaran KWSP.......saya nk byar hutang...,@atie_72,atie ,0,0,1d ago ,2023-01-28,4361,315,191
"luluskan jee laaa...
apa susah sangat.. duit pencarum... yg payah sangat nk bgi duit pencarum yg kerajaan simpan.. dah kenapa???",@kiflisabil,gerai bajet ,1,0,1d ago ,2023-01-28,4361,315,191
Abang 2000 boleh keluar kew,@fiqza1,Inakk Temuan ,0,0,1d ago ,2023-01-28,4361,315,191
sila lulusknn duit kwsp kerna kmi sangat memerlukkn hutang bnyk perlu d bayar😭😭,@sameyyangchin,Samey Yang Chin79 ,1,0,1d ago ,2023-01-28,4361,315,191
Kenapa la sush sagt nk keluar kn kwsp ini,@firdaussukri55,FirdausSukri 55 ,0,0,1d ago ,2023-01-28,4361,315,191
Saya ini hutang kereta dan motosikal dah mask 4buln dah saya Xmnpu nk bayar,@firdaussukri55,FirdausSukri 55 ,0,0,1d ago ,2023-01-28,4361,315,191
Bile la boleh buat keluar kwsp,@firdaussukri55,FirdausSukri 55 ,0,0,1d ago ,2023-01-28,4361,315,191
Kita bagi tempoh spai bulan 2 saja kalau x buat polis report ramai2😂,@vilvaraj26,ILLmunati 666 ,0,0,1d ago ,2023-01-28,4361,315,191
cukup ke tidak xpalah janji blh bw klr itu duit Kami bln duit kerajaan.. kerajaan hanya tlg simpan utk pelaburan je,@fieza6325,Fieza6325 ,0,0,1d ago ,2023-01-28,4361,315,191
Jemmm oooo.... bila boleh lulus ni,@shaheir83,Edd@83 ,1,0,1d ago ,2023-01-28,4361,315,191
luluskam hutang bukan nak sampai tua tak larat nak bayar..,@matmintruker,MATMINTRUKER ,1,0,1d ago ,2023-01-28,4361,315,191
sy ada 250k acc 1,@bakasmode,bakas tumulud ,0,0,1d ago ,2023-01-28,4361,315,191
luluskan KWSP bersasar 🙏,@sithara0476,sithara0476 ,0,0,1d ago ,2023-01-28,4361,315,191
Terbaik tuan,@bakhtiar73interpriseshop,Bakhtiar73 Interprise Shop ,0,0,2d ago ,2023-01-28,4361,315,191
kami semua pencarum baki mencukupi untuk keluaran kwsp 2.0 akuan 1 masih bnyk lg,@sitirahanarahana,Siti Rahana Rahana ,0,0,2d ago ,2023-01-28,4361,315,191
minta PM10 luluskan pengeluaran KWSP2.0 kali ni,@mudkama,Abg Lan ,0,0,2d ago ,2023-01-28,4361,315,191
Done,@zulkiflizulkifl54,Zulkifli... ,0,0,2d ago ,2023-01-28,4361,315,191
#kwspbersasar ..Suri rmh spnoh Mase..💪,@dielaaaa,Love5384112827347 ,0,0,2d ago ,2023-01-28,4361,315,191
Segera luluskan pengeluaran KWSP bersasar 2.0,@mahadiabdullah119,mahadiabdullah119 ,1,0,2d ago ,2023-01-28,4361,315,191
🥰🥰🥰🙏🙏🙏,@majekmajek592,majekmajek592 ,0,0,2d ago ,2023-01-28,4361,315,191
tolong luluskan duit KWSP kami memang memerlukan sebab hutang perlu di bayar 🙏🙏🙏😭😭😭😭😭,@normalilamustapha,illa ,1,0,2d ago ,2023-01-28,4361,315,191
"Mohon luluskan segera pengeluaran kwsp bersasar ni...kami sngt2 memerlukan skrg ni🙏😔
#kwspbersasar
#kaminakduitkami
#pm10",@kakemyhartanah,kakemyhartanah ,0,0,2d ago ,2023-01-28,4361,315,191
sedikit atau banyak yang pasti itu duit kami hasil titik peluh kami...kami amat² memerlukan duit KWSP dalam keadaan sekarang ni...,@userchacha277928,userchacha277928 ,0,0,2d ago ,2023-01-28,4361,315,191
btl ke nie boleh bawa keluar kwsp,@puterakayangan766,puterakayangan766 ,0,0,2d ago ,2023-01-28,4361,315,191
sokong berapa lama nk tungu ni....,@madiganu1,jas ,0,0,2d ago ,2023-01-28,4361,315,191
kwsp harap lulus🙏,@syanaquri,SYANAQURI ,1,0,2d ago ,2023-01-28,4361,315,191
harap dpt diluluskan segera.moga dibukakan pntu hati DSAI.,@ed_jb01,Ed@jb ,2,0,2d ago ,2023-01-28,4361,315,191
