comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_likes,video_comments,video_shared
Brother... For business development can ah??,@vishnusk1304,VishnuSK ,1,0,1d ago ,2023-01-28,13.7K,136,1410
👍👍👍,@rani55371,rani55371 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
buat masa ini skim pengeluaran KWSP yg berumur 50- 60 thn sj boleh,@arasi9206,❤️♥️🎼Arasi9206💋🎶❤️ ,0,0,1d ago ,2023-01-28,13.7K,136,1410
bro age 40. 50% kluar tlg suara,@shhan9510,user9590357977654 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
ok Anna,@puvaneswary85,puvaneswary❣️ ,0,0,1d ago ,2023-01-28,13.7K,136,1410
Okay brother,@user1858094553275,Kavitha ,0,0,1d ago ,2023-01-28,13.7K,136,1410
Anne explain about house renovations withdrawal,@miila_2605,Mila_26 ,1,0,1d ago ,2023-01-28,13.7K,136,1410
thank you bro,@10nes_77,10nesh ,0,0,1d ago ,2023-01-28,13.7K,136,1410
🥰🥰🥰,@sakthiindira4,Sakthi ,0,0,1d ago ,2023-01-28,13.7K,136,1410
tq for your information hope the government going help we all,@mahco240879,alibhai ,3,0,1d ago ,2023-01-28,13.7K,136,1410
thanks for information brother 🙏🏻🙏🏻,@user8792456094137,sakthi ,1,0,1d ago ,2023-01-28,13.7K,136,1410
how to apply for study...pls explain.me,@athysakthy,athysakthy ,0,0,1d ago ,2023-01-28,13.7K,136,1410
Ann way 52 cannot,@mala11118,user6867397727748 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
brother if I want the account 1 can ah for housing because my account 2 less money only account 1 I have,@user1904102073019,user1904102073019 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
how about OKU,@mariadass722,mariadass ,0,0,1d ago ,2023-01-28,13.7K,136,1410
tq for information 🙏,@angelishah28,lishah28 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
🙏,@annam3677,annam3677 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
thanks for information bro,@janer_janet,janet ,2,0,1d ago ,2023-01-28,13.7K,136,1410
🥰🥰🥰,@santhisubramania28,Santhi Subramania207 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
blh tak tlg kalau majikan tak bg epf.,@lathaseenivasan8,latha ,0,0,1d ago ,2023-01-28,13.7K,136,1410
tq Anna🙏,@anbu2586,ANBU2586 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
tqvm bro,@MS4wLjABAAAAZ9CDEhfvpX3T_lg9dSK4q_4VLzZPljGY33fGwvr-mTTnkvWHn3RaHXHx6KAZb3r0,user251910 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
🙏,@sathiya_1985,SATHIYA🔥🔥 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
tq anna,@jtmob,riya girl 1993 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
🙏🙏,@_thilaga75,_thilaga75 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
Bro kalau mahu beli kereta boleh keluar ke kwsp,@raviboy363636,RAVI BOY 360 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
tq brother,@jacintha068,jashila ,0,0,1d ago ,2023-01-28,13.7K,136,1410
tq brother,@5297guna,Guna ,1,0,1d ago ,2023-01-28,13.7K,136,1410
"tak salah sy, renovation rumah tak blh keluar duit kwsp...",@ganesh_3636,ganesh_3636 ,1,0,1d ago ,2023-01-28,13.7K,136,1410
Thank you Anna for the explanations,@msrudra86,Ms Rudra ,0,0,1d ago ,2023-01-28,13.7K,136,1410
10q bro,@user971410102,Rajkumar09 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
pm,@user971592929136,ganeshmesh ,0,0,4h ago ,2023-01-28,13.7K,136,1410
pm,@rameshvelo0,Ramesh Velo ,0,0,4h ago ,2023-01-28,13.7K,136,1410
house renovation,@yugeshwarikanmani,Yugeshwari Kanmani ,0,0,1d ago ,2023-01-28,13.7K,136,1410
ok thanks dik for this info,@tanabalasingam,Tanabala Singam ,0,0,1d ago ,2023-01-28,13.7K,136,1410
pm,@mohganraju,user4263314560660 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
how about age 55 .,@2407subra,subra24 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
pm,@sathibama91,sathi mani💞 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
pm.,@darveswaran,Darves ,0,0,1d ago ,2023-01-28,13.7K,136,1410
Thanks Ana,@jpk886,user8065975407994 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
pm,@magentharanmagen,magentharanmagen ,0,0,1d ago ,2023-01-28,13.7K,136,1410
kami Akan timbang utk UNDI siapa pada PRN nanti,@basgaranmunusamy,basgaran ,0,0,1d ago ,2023-01-28,13.7K,136,1410
"KWSP
50
55
60",@raja_19792,Tik Toker ,0,0,1d ago ,2023-01-28,13.7K,136,1410
boss translate la,@mysteryyyyyyyyyyyyyyyy,mysteryyyyyyy ,0,0,1d ago ,2023-01-28,13.7K,136,1410
Belum keluar lagi ke?,@logeswariselvam8,logeswari ,0,0,1d ago ,2023-01-28,13.7K,136,1410
ok,@vijayan19770,Vijayan Krisnnan ,0,0,1h ago ,2023-01-28,13.7K,136,1410
"No kwsp withdraw only for study , medical only",@dreamtogo0,Chacha ,0,0,9h ago ,2023-01-28,13.7K,136,1410
ok bro,@rkjhon,@John$$$ ,0,0,10h ago ,2023-01-28,13.7K,136,1410
@kuttyma1803,@raam_sundar23,Raamsundar Segar ,0,0,1d ago ,2023-01-28,13.7K,136,1410
🥰🥰,@siva150197,Sivasankaran ,0,0,1d ago ,2023-01-28,13.7K,136,1410
🥰🥰🥰,@user48116509639849,user481165096398 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
apa ni bro ..,@banras2022,Ban'rass ,0,0,1d ago ,2023-01-28,13.7K,136,1410
sokong amin,@saputra9087,😥 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
thanks bro,@mahenpupathi318,mahenpupathi318 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
👍👍👌👌,@user2450018610709,user2450018610709 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
🙏🙏🙏,@user7441713930136,user7441713930136 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
"saya SDH pergi direct tanya sana cawangan mereka ckp jgn percaya iklan 2 ,di mana post,itu tak benar ,dan buat masa ini tiada pengeluaran lagi,",@arasi9206,❤️♥️🎼Arasi9206💋🎶❤️ ,0,0,1d ago ,2023-01-28,13.7K,136,1410
🙏🙏🙏🙏,@latanaidu3,🌼🦋LATANAIDU🦋🌼 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
🥰🥰🥰🥰🥰🥰,@priyasobhasanthosh1,🤟🤟 Letchumy 💕 Jeeva 🙏🙏💋❤ ,0,0,1d ago ,2023-01-28,13.7K,136,1410
🥰🥰,@raviivar620,1189 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
🥰,@1172534854umauma,UMA ,0,0,1d ago ,2023-01-28,13.7K,136,1410
hi,@alexyugans,Alex Yugans ,0,0,1d ago ,2023-01-28,13.7K,136,1410
ok,@ananthananan95,ananthananan95 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
Ni kwsp untuk 5 syarat je kan bkn untuk semua org kwsp kan anne,@prasannanair21,user3859642404106 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
bro socso bolik tolong,@muni_ma,Mathy Selvan65 ,0,0,1d ago ,2023-01-28,13.7K,136,1410
Tg bro,@user7158976,Rawikumar9962 ,1,0,1d ago ,2023-01-28,13.7K,136,1410
tq brother,@jwww.tiktok.com3,jonathan ,0,0,1d ago ,2023-01-28,13.7K,136,1410
