tiktok_link,tiktok_description,tiktok_hashtag,Username,Views,posted_date,extracted_date
https://www.tiktok.com/@jason.yew/video/7193267006664183067,"""Ucapan saya dari hati, bukan ikut teks"" #MalaysiaMADANI  #KerajaanPerpaduan  #kdn  #saifuddinnasution  #menterikdn  #KEADILANuntukSemua  #foryou  ",#MalaysiaMADANI #KerajaanPerpaduan #kdn #saifuddinnasution #menterikdn #KEADILANuntukSemua #foryou,jason.yew,200.5K,2023-1-27,2023-02-01
https://www.tiktok.com/@penipuan_pak_menteri/video/7194648235930160410,amalan nepotisme anwar berpisah tiada #pakatanharapan  #telur  #kerajaanmadani  #zahidhamidi  #rafiziramli  #pkr  #kerajaangagalphbn  #kerajaanperpaduan  #ph  ,#pakatanharapan #telur #kerajaanmadani #zahidhamidi #rafiziramli #pkr #kerajaangagalphbn #kerajaanperpaduan #ph,penipuan_pak_menteri,1355,2023-1-31,2023-02-01
https://www.tiktok.com/@jason.yew/video/7193258385079323930,"Kalau saya salah, betulkan! - Saifuddin Nasution #MalaysiaMADANI  #KerajaanPerpaduan  #kdn  #saifuddinnasution  #menterikdn  #KEADILANuntukSemua  #foryou  ",#MalaysiaMADANI #KerajaanPerpaduan #kdn #saifuddinnasution #menterikdn #KEADILANuntukSemua #foryou,jason.yew,189.9K,2023-1-27,2023-02-01
https://www.tiktok.com/@jason.yew/video/7193566557719612698,Kenapa kita tak rasa bimbang bila hutang negara RM1.5 trilion? #parlimen  #resettingthemalaysianeconomy  #MalaysiaMADANI  #KerajaanPerpaduan  #rafiziramli  #menteriekonomi  #epumalaysia  #ayuhmalaysia  #KEADILANuntukSemua  #foryou  ,#parlimen #resettingthemalaysianeconomy #MalaysiaMADANI #KerajaanPerpaduan #rafiziramli #menteriekonomi #epumalaysia #ayuhmalaysia #KEADILANuntukSemua #foryou,jason.yew,199.2K,2023-1-28,2023-02-01
https://www.tiktok.com/@pali.ss_/video/7190321734279515419,#anwaribrahim  #perdanamenterike10  #Malaysia  #Madani  #kerajaanperpaduan  #foryou  #fyp  #fypシ  #zainiumaralif  #rtm  #bernamatv  #astroawani  #tv3  #pakatanharapan  #barisannasional  #PN  ,#anwaribrahim #perdanamenterike10 #Malaysia #Madani #kerajaanperpaduan #foryou #fyp #fyp #zainiumaralif #rtm #bernamatv #astroawani #tv3 #pakatanharapan #barisannasional #PN,pali.ss_,418.9K,1-19,2023-02-01
https://www.tiktok.com/@skyreformis28/video/7193327810402897178,#iswardymorni  #kerajaanperpaduan  #malaysiamadani  #ayuhltl  #LTL  #politikmalaysia  #PMX  #reformasi  #fyp  #fypシ  #fyppppppppppppppppppppppp  #tiktokmalaysia🇲🇾🇲🇾🇲🇾🇲🇾  ,#iswardymorni #kerajaanperpaduan #malaysiamadani #ayuhltl #LTL #politikmalaysia #PMX #reformasi #fyp #fyp #fyppppppppppppppppppppppp #tiktokmalaysia,skyreformis28,96.3K,2023-1-27,2023-02-01
https://www.tiktok.com/@jason.yew/video/7192513224703528218,🇲🇾🤝🇧🇳 Sambutan Rasmi PM 🇲🇾 DS Anwar Ibrahim oleh Sultan Brunei 🇧🇳 di Istana Brunei #🇲🇾🇧🇳  #PMX  #MalaysiaMADANI  #KerajaanPerpaduan  #DemiPertiwi  #DSAIPM10  #anwaribrahim  #KEADILANuntukSemua  #foryou  ,#PMX #MalaysiaMADANI #KerajaanPerpaduan #DemiPertiwi #DSAIPM10 #anwaribrahim #KEADILANuntukSemua #foryou,jason.yew,137.9K,2023-1-25,2023-02-01
https://www.tiktok.com/@banterdose/video/7190392550409243931,Perdana Menteri Malaysia pentingnya perpaduan & tadbir urus yang baik  #kerajaanperpaduan  #rakyat  #semasa  #sarawak  #semenanjung  #madani  #perpaduan  #ucapan  #menteri  #ydpa  #agama  #kaum  #masadepan  #negara  #anakmuda  #cikgu  #sembang  #gps  #ph  #bn  #pn  #pas  #anwar  #pm10  #rasuah  #kedamaian  #ekonomi ,#kerajaanperpaduan #rakyat #semasa #sarawak #semenanjung #madani #perpaduan #ucapan #menteri #ydpa #agama #kaum #masadepan #negara #anakmuda #cikgu #sembang #gps #ph #bn #pn #pas #anwar #pm10 #rasuah #kedamaian #ekonomi,banterdose,322.1K,1-19,2023-02-01
https://www.tiktok.com/@themojako/video/7193544381524184346,Syurga buatmu DSAI ❤️❤️❤️ #anwaribrahim  #anwaribrahimpm10  #malaysiamadani  #pmx  #dsai  #pm10  #kerajaanperpaduan  ,#anwaribrahim #anwaribrahimpm10 #malaysiamadani #pmx #dsai #pm10 #kerajaanperpaduan,themojako,72.8K,2023-1-28,2023-02-01
https://www.tiktok.com/@jason.yew/video/7189872629422099738,Pengecualian bayaran tol pada 20 & 21 Januari 2023 #PMX  #MalaysiaMadani  #KerajaanPerpaduan  #DemiPertiwi  #DSAIPM10  #anwaribrahim  #KEADILANuntukSemua  #foryou  ,#PMX #MalaysiaMadani #KerajaanPerpaduan #DemiPertiwi #DSAIPM10 #anwaribrahim #KEADILANuntukSemua #foryou,jason.yew,512.5K,1-18,2023-02-01
