tiktok_link,tiktok_description,tiktok_hashtag,Username,Views,posted_date,extracted_date
https://www.tiktok.com/@thelassieakasia/video/7170225967019953435,"Dalam kegembiraan meraikan Dato Seri Anwar Ibrahim sebagai PM Malaysia ke-10, Jom sama-sama mendoakan agar Beliau dapat melaksanakan tanggungjawab besar ini dgn sebaik-baiknya  #harapanrakyat  #fyp  #fypp  #fypage  #fypdongggggggg  #fypシ゚viral  #fyppppppppppppppppppppppp  #fypgakni  #anwaribrahim  #dsaipm10  #pm10malaysia  #nurulizzahanwar  #nurulizzah  ",#harapanrakyat #fyp #fypp #fypage #fypdongggggggg #fyp #fyppppppppppppppppppppppp #fypgakni #anwaribrahim #dsaipm10 #pm10malaysia #nurulizzahanwar #nurulizzah,thelassieakasia,122.7K,2022-11-26,2023-01-30
https://www.tiktok.com/@rakannurulizzahanwar/video/7165536128626478362,Nurul Izzah Anwar ✅✅✅✅ Ciri-ciri yang boleh bawak perubahan ✊🏼 #NurulIzzahAnwar  #HARAPAN  #pru15  #KitaBoleh  #ge15  #myPM  ,#NurulIzzahAnwar #HARAPAN #pru15 #KitaBoleh #ge15 #myPM,rakannurulizzahanwar,295.2K,2022-11-14,2023-01-30
https://www.tiktok.com/@meettgy/video/7171460197754457371,#fyp  #anwaribrahim  #PM10  #wanazizah  #nurulizzah  #rajamelayuberdaulat  #sultanmalaysia  #najibrazak  #muhyiddinyassin  #ismailsabri  #pru15  ,#fyp #anwaribrahim #PM10 #wanazizah #nurulizzah #rajamelayuberdaulat #sultanmalaysia #najibrazak #muhyiddinyassin #ismailsabri #pru15,meettgy,186K,2022-11-29,2023-01-30
https://www.tiktok.com/@farezizat805/video/7162496134601084186,#parlimen  #P044  #PermatangPauh  #NurulIzzahAnwar  #pakatanharapan  #fyp  #fypシ  #partikeadilanrakyat  #kitaboleh  #dsaipm10  ,#parlimen #P044 #PermatangPauh #NurulIzzahAnwar #pakatanharapan #fyp #fyp #partikeadilanrakyat #kitaboleh #dsaipm10,farezizat805,220.7K,2022-11-5,2023-01-30
https://www.tiktok.com/@pinography/video/7165836957681995035,KITA TOLAK PARTI / CALON KEMPEN SECARA KOTOR. PUNYA TAK BAIK BUAT NURUL IZZAH ANWAR. YA ALLAH LINDUNGILAH PERJUANGAN YB NURUL IZZAH ANWAR UNTUK RAKYAT DAN NEGARA. #parlimen  #PRU15  #DEBAT  #NurullzzahAnwar  #rafiziramli  #anwaribrahim  #calonpru15  #malaysia  #yp #yp江 #ypage  #fypzviral  #fypppppppppppppppppppp  #ampang  #ph  #tolakcalonkorup  #nurulizzah  #lawantetaplawan  #barisannasional  #perikatannasional  #najibrazak  #anwaribrahim  #ismailsabri  #zahidhamidi  #tolakBN  #TOLAKPH  #tolakpemimpinrasuah  ,#parlimen #PRU15 #DEBAT #NurullzzahAnwar #rafiziramli #anwaribrahim #calonpru15 #malaysia #yp #yp #ypage #fypzviral #fypppppppppppppppppppp #ampang #ph #tolakcalonkorup #nurulizzah #lawantetaplawan #barisannasional #perikatannasional #najibrazak #anwaribrahim #ismailsabri #zahidhamidi #tolakBN #TOLAKPH #tolakpemimpinrasuah,pinography,73.6K,2022-11-14,2023-01-30
https://www.tiktok.com/@potretkehidupan84/video/7171720628184075546,Rileks je Dato Seri Anwar bergaul dengan jiran #anwaribrahim  #rafiziramli  #nurulizzahanwar  #nurulizzah  #pru15  #ayuhmalaysia  #pkr  #pakatanharapan  #wanazizah  #kakwan  #bn  #pn  #pas  #sejarah  #inspirasi  #dokumentari  #reformasi  #pm10  #dsai  #sabah  #sarawak  #yangdipertuanagong  #indonesia ,#anwaribrahim #rafiziramli #nurulizzahanwar #nurulizzah #pru15 #ayuhmalaysia #pkr #pakatanharapan #wanazizah #kakwan #bn #pn #pas #sejarah #inspirasi #dokumentari #reformasi #pm10 #dsai #sabah #sarawak #yangdipertuanagong #indonesia,potretkehidupan84,340.5K,2022-11-30,2023-01-30
https://www.tiktok.com/@zamrihjyusuf/video/7164644971864182043,#fyp  #foryou  #menggalasharapanrakyat  #ayuhmalaysia  #nadirakyat  #hijaukuningnegeriku🌾  #paklong40  #nurulizzah  #alorsetar  ,#fyp #foryou #menggalasharapanrakyat #ayuhmalaysia #nadirakyat #hijaukuningnegeriku #paklong40 #nurulizzah #alorsetar,zamrihjyusuf,480.3K,2022-11-11,2023-01-30
https://www.tiktok.com/@meettgy/video/7171070910638591259,#fyp  #anwaribrahim  #wanazizah  #ismailsabri  #muhyiddinyassin  #tunmahathir  #najibrazak  #nurulizzah  ,#fyp #anwaribrahim #wanazizah #ismailsabri #muhyiddinyassin #tunmahathir #najibrazak #nurulizzah,meettgy,776.6K,2022-11-28,2023-01-30
https://www.tiktok.com/@user3308165313233/video/7169507800597417242,🤲🏻 #esekeli  #fyp  #foryou  #nurulizzah  #fans  #dsai  #pm10  ,#esekeli #fyp #foryou #nurulizzah #fans #dsai #pm10,user3308165313233,199.6K,2022-11-24,2023-01-30
https://www.tiktok.com/@potretkehidupan84/video/7171320497412541723,"Kalau dapat boss mcm DSAI ni, hati pun senang #anwaribrahim  #rafiziramli  #nurulizzah  #nurulizzahanwar  #pru15  #reformasi  #inspirasi  #malaysia  #indonesia  #yangdipertuanagong  #muhyiddinyassin  #pn  #pas  #pakatanharapan  #bn  #sabah  #sarawak  #wanazizah  #kakwan  #pm10  #dsai ",#anwaribrahim #rafiziramli #nurulizzah #nurulizzahanwar #pru15 #reformasi #inspirasi #malaysia #indonesia #yangdipertuanagong #muhyiddinyassin #pn #pas #pakatanharapan #bn #sabah #sarawak #wanazizah #kakwan #pm10 #dsai,potretkehidupan84,557.1K,2022-11-29,2023-01-30
