comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_likes,video_comments,video_shared
biase laa dah tua kkdg lupo apo yg dia cakap😂😂😂,@puppet18,ᴾ͟ᵁ͟ᴾ͟ᴾ͟ᴱ͟ᵀ͟¹⁸ ,1,0,13h ago ,2023-01-30,9455,2343,1063
sblom dpt krusi pm Ada lah prinsip dlm diri...dh dapat kerusi pmx..xpenting dh itu prinsip..beganding pun dgn penyamun...kerajaan keluarga Anwar..,@msmr.0_0,MS ,1,0,13h ago ,2023-01-30,9455,2343,1063
itula...parahh..😂,@aziedar,Lesung Batu ,1,0,13h ago ,2023-01-30,9455,2343,1063
Madani😂,@arissalias,Ariss Alias ,1,0,13h ago ,2023-01-30,9455,2343,1063
esok semua harga mknan turun kat semua kedai mkn sbb dh ada puan penasihat.. nasi ayam rm2 sebungkus teh tarik 50 sen,@zailanii72,Mamat Ali ,1,0,13h ago ,2023-01-30,9455,2343,1063
anak kesayangan papa biasa lah..,@sostiramsedap,🐿️ ,1,0,13h ago ,2023-01-30,9455,2343,1063
org nk ambik kte kje pun kne ada background tertentu & pengalaman..semua dia boleh🥲,@dayaniomar,𝓨𝓪𝓷𝓷𝔂 ,1,0,13h ago ,2023-01-30,9455,2343,1063
"dulu cakap kt najib,skarang dia dh buat apa yg najib buat dlu,ayat makan tuan 😂 skarang boleh nampak dah,janji bang non x boleh pakai 😂",@matsabu86,mat sabu ,1,0,13h ago ,2023-01-30,9455,2343,1063
Logik nurul : Kerajaan papa saya.suka hati papa sayala.,@inciksobree,inciksobree ,1,0,13h ago ,2023-01-30,9455,2343,1063
Politik ank beranak pula.. Jgn uat diri ku menyesal sokong ph,@amynoorlizam,Amy Noorlizam Hassan ,1,0,13h ago ,2023-01-30,9455,2343,1063
sama je semua ahli politik Malaysia ckp x blh pakai,@zailanii72,Mamat Ali ,1,0,13h ago ,2023-01-30,9455,2343,1063
betul bang,@asrulshaari,asrulshaari ,1,0,13h ago ,2023-01-30,9455,2343,1063
percayakah x berbayar?????,@dekwann5546,dikwan@⁵⁵ ,1,0,13h ago ,2023-01-30,9455,2343,1063
😂😂😂😂😂,@sanggoroapi5,sanggoro api ,1,0,13h ago ,2023-01-30,9455,2343,1063
😂😂😂😂😂😂,@ahimalbanjari,ahimaLBanjari ,1,0,13h ago ,2023-01-30,9455,2343,1063
dan laungan membantu miskin tegar hanya kata2,@redzuanesa,Redzuan81 ,1,0,13h ago ,2023-01-30,9455,2343,1063
KITA BOLEH ORANG LAIN TAK BOLEH..😂😂😂,@fazilflash,fazilflash ,1,0,13h ago ,2023-01-30,9455,2343,1063
daddykasi,@cryptosharer,NNS ,1,0,13h ago ,2023-01-30,9455,2343,1063
lepas ni impress dgn ayat pmx .next ceramah dia .Pastu lupa pasal hal ni .Cai kan lebih bangga dgn sembang drpd tindakan,@kimballery,TokanGtR88 ,1,0,13h ago ,2023-01-30,9455,2343,1063
Dorang sekarang kerajaan. Apa yg kamu cakap ni. Anaknya pun pintar. Mana kau tahu Nur Izah tak tahu kewangan.,@jawing95,Jawing ,1,0,13h ago ,2023-01-30,9455,2343,1063
benda ni mcm kita ludah kat muka monyet pastu monyet ludah kat muka kita balik siap telan lagi,@netyzink,Netyzink ,1,0,13h ago ,2023-01-30,9455,2343,1063
"Tolong jgn komen pasal papa non,,dia terlalu mulia disisi walaknon2,,ini malaysia darul anwar,,jgn kacau😜😜😜",@fadzilsarudin,fadzilsarudin ,1,0,13h ago ,2023-01-30,9455,2343,1063
"nak cakap profesionalisme, experience baik bagi dekat org lain",@eslah.com,eslah.com ,1,0,13h ago ,2023-01-30,9455,2343,1063
Makin keras bang suarakan pendapat.. Kang terasa pulak orang 11%,@gurahaeiman025542,Gurahaeiman025542 ,1,0,13h ago ,2023-01-30,9455,2343,1063
dynasty keluarga style Tun M,@bestguy3000,bestguy ,1,0,13h ago ,2023-01-30,9455,2343,1063
"Klau bapak x tolong angkat ank naik siapa lg nk tolong angkat, ni lh org panggil parti ank beranak, dulu ckp dkt Tun M",@perumpuanmurahan,Mahsuri yg menipu ,1,0,13h ago ,2023-01-30,9455,2343,1063
betul la tue.. retorik kosong jer..,@afifiridwan,afifiridwan ,1,0,13h ago ,2023-01-30,9455,2343,1063
"kata kata ahli politik banyak tak boleh pakai, kalau bab sembang kat orang dia paling suci tapi bila part dia buat semua boleh😂",@dunaifana123,DUNIA FANA ,1,0,13h ago ,2023-01-30,9455,2343,1063
dia pun tak pcaya ngan team dia sdri 😂😂😂,@sabella05050,Sabella ,1,0,13h ago ,2023-01-30,9455,2343,1063
pening politics sejak kebelakangan ini bang,@usersimarao,Mr.sima1973 ,1,0,13h ago ,2023-01-30,9455,2343,1063
"nak suruh Hadi dan Midin,mereka tak mahu kerja krjaan 😂😂",@pemerikumang,Pemeri Kumang ,1,0,14h ago ,2023-01-30,9455,2343,1063
😂😂😂die buat ok org lain buat x bleh😂😂😂 yg kuban2 jer😅😅😅,@ceooftuah,CEO-OF-TUAH ,1,0,14h ago ,2023-01-30,9455,2343,1063
diowg bkn phm prinsip😂,@husbyzati_ayhsofea,hamizan86 ,1,0,14h ago ,2023-01-30,9455,2343,1063
Dia tarik anak beranak dia je 😂,@notjackzy,Izz ,1,0,14h ago ,2023-01-30,9455,2343,1063
Mmg layak Nurul Izzah sbb dia ada PhD dlm bidang terse but di iktiraf oleh USA..,@user24926495907,user24926495907 ,1,0,14h ago ,2023-01-30,9455,2343,1063
setiap pemimpin pasti ambil kroni sendiri walaupun cakap tak...belum menang lain..dah menang lain cerita pulak..hilang kepercayaan rakyat cina pada PH,@bigbull668,Chew Chee Yong ,1,0,14h ago ,2023-01-30,9455,2343,1063
Wah @W🔺JDI 🔺ZRI,@racunshopeejimat,RACUN SHOPEE JIMAT ✅ ,1,0,14h ago ,2023-01-30,9455,2343,1063
setuju,@zurazu328,zurazu328 ,1,0,14h ago ,2023-01-30,9455,2343,1063
PMX takde prinsip,@aminnnn99,Amin ,1,0,14h ago ,2023-01-30,9455,2343,1063
Sekarang phbn dh lain prinsip😅,@frsleppy,frs sleppy ,1,0,14h ago ,2023-01-30,9455,2343,1063
This is not a family government.,@ellangheeran,user197236946768 ,1,0,14h ago ,2023-01-30,9455,2343,1063
prinsip lama dh hilang bila fokus sudah beralih ke kuasa bkn rakyat seperti dulu.,@odioesefo2199,Od_Katipang21 ,1,0,14h ago ,2023-01-30,9455,2343,1063
meby Nurul izzah lain kot.cuba cek binti die.meby Nurul Izzah binti Fernando Tores kot.,@insan.biasa09,kembangpagi ,1,0,14h ago ,2023-01-30,9455,2343,1063
"Takde gaji bro,jawatan takde gaji bape kerat je orang nak? bagi kat family sendiri senang 🥱.Izzah tu pun bukannya mp lagi dah.",@megatrahman,manisuci ,1,0,14h ago ,2023-01-30,9455,2343,1063
"dia boleh kita x boleh , spin 😂😂😂",@hilmiz93,Hilmi ,1,0,14h ago ,2023-01-30,9455,2343,1063
