comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_likes,video_comments,video_shared
tetiba tetiba,@acuhazzira1511,Acu ,0,0,2022-11-3,2023-01-30,10.8K,298,270
wow tiba main badminton,@kiki_daud,kiki_daud ,0,0,2022-11-3,2023-01-30,10.8K,298,270
Koyak kain satgi YB😂😂😂,@vespa_jetrod78,Vespa_Jetrod78 ,0,0,2022-11-3,2023-01-30,10.8K,298,270
baru nampak muka2 famous Tiber pru😂,@kumanankumanan90,🪐🪐KUMANAN✨✨✨ ,0,0,2022-11-3,2023-01-30,10.8K,298,270
da brpny ke,@nassurzu,NasSurzu ,0,0,2022-11-3,2023-01-30,10.8K,298,270
dah mng die tggl korg😂,@apeygdicaritu,belut ,0,0,2022-11-3,2023-01-30,10.8K,298,270
nk mengundi macam,@lizizaa99,Liz Iza ,0,0,2022-11-2,2023-01-30,10.8K,298,270
wah setiap 5 tahun baru nk main badminton,@ujangrembau2,ujangrembau ,0,0,2022-11-2,2023-01-30,10.8K,298,270
Nurul Izzah Terbaik,@nazreenzafirah,nazreenshah ,0,0,2022-11-2,2023-01-30,10.8K,298,270
Nohhh rokiahhh😂,@shahfiq96_,Shahfiq ,0,0,2022-11-2,2023-01-30,10.8K,298,270
hebat yb😂,@jefsharifuraa,Jef Sharif ,0,0,2022-11-2,2023-01-30,10.8K,298,270
TERBAIK YB,@granitegrey09,GRANITE GREY ,0,0,2022-11-2,2023-01-30,10.8K,298,270
agak2 la,@gogilentolasi,gogilen tolasi ,0,0,2022-11-2,2023-01-30,10.8K,298,270
Emm,@akuoku0,akuoku0 ,0,0,2022-11-2,2023-01-30,10.8K,298,270
Sampei hati mu tglkn daku,@shangkerrr08,Shangkerr08 ,0,0,2022-11-2,2023-01-30,10.8K,298,270
terbaik yb nurul izzah...,@zamsol70,zamsol70 ,0,0,2022-11-1,2023-01-30,10.8K,298,270
Tetap BN,@hamzadawson345,hamzadawson345 ,0,0,2022-11-1,2023-01-30,10.8K,298,270
"pakai kain je matt, steady👍🏻",@muhammadhaziqii,Muhammad Haziq II ,0,0,2022-11-1,2023-01-30,10.8K,298,270
wowww 5 tahun sekli dpt tengok ni bukn syelalu😂😂😂,@waniebudakjb,syazwaniejb ,0,0,2022-11-1,2023-01-30,10.8K,298,270
bila lh nk berkempen tu blh lk melayan rakyat min batminten lgi,@saribsahah,saribsahah ,0,0,2022-10-26,2023-01-30,10.8K,298,270
hadir Yb Izzah terbaik,@muhdisha678,Muhd Isha678 ,1,0,2022-10-26,2023-01-30,10.8K,298,270
Stedey Izah Arsenal Fans 🥰,@mohdredzuan606,Redzuan 83 ,0,0,2022-10-26,2023-01-30,10.8K,298,270
kirim salam dgn nurul...,@user6731386907861,user6731386907861 ,0,0,2022-10-25,2023-01-30,10.8K,298,270
nak PRU pandai pulak main badminton 😂,@mizi458,MiZiEija2121 ,0,0,2022-10-25,2023-01-30,10.8K,298,270
comel & cantikkk,@rilekk_lu,Rilekk Lu ,1,0,2022-10-25,2023-01-30,10.8K,298,270
dah kawen😌,@ztanjakmelayu,ztanjakmelayu ,0,0,2022-10-25,2023-01-30,10.8K,298,270
Mcmne nk bgitau kt Nurul izzah sy sukakn dia ye😂,@92panjihitam,Paku berkarat ,0,0,2022-10-25,2023-01-30,10.8K,298,270
yeahhhh yb idol 🥰🥰,@sam_kacak,Pengiran_highbury ,0,0,2022-10-25,2023-01-30,10.8K,298,270
hebat👍,@zamrirazali0,Zamri Razali690 ,0,0,2022-10-25,2023-01-30,10.8K,298,270
jrg² brlaku ni....😁😁😁,@enniewthegunners,therakusstep ,1,0,2022-10-25,2023-01-30,10.8K,298,270
dato lcw hadir,@user60r4040nqs,Maeil ,1,0,2022-10-25,2023-01-30,10.8K,298,270
comeii,@user782527859,rose azhar ,2,0,2022-10-25,2023-01-30,10.8K,298,270
hadir support ph,@shasrina75,mat kilau ,4,0,2022-10-25,2023-01-30,10.8K,298,270
Seb baek x masuk Uber Cup. Kalau x ngan Thomas Cup dia tapau 😁,@sikatcapangsa,Sikatcapangsa ,1,0,2022-10-25,2023-01-30,10.8K,298,270
22bulan reformasi,@belbo_hakim,belbo@hakim ,0,0,2022-10-25,2023-01-30,10.8K,298,270
Terbaik YB,@budakmat,BudakMat ,2,0,2022-10-24,2023-01-30,10.8K,298,270
terbaik pkr 🥰,@billionmas,Golongan million mas ,3,0,2022-10-24,2023-01-30,10.8K,298,270
ingt lwn LCW tadi.. 😅,@sab24sab,sab24sab ,0,0,2022-10-24,2023-01-30,10.8K,298,270
terbaik YB,@harismanperodua,HARISMAN AZIZ ,1,0,2022-10-24,2023-01-30,10.8K,298,270
main badminton pulak begitu yb,@holo589,TUA Bergaya ,0,0,2022-10-24,2023-01-30,10.8K,298,270
mcm mcm ada pru dah sampai ma😂,@gunalan969696,Mr.G ,2,0,2022-10-24,2023-01-30,10.8K,298,270
wow👍,@saminathan7100,saminathan ,0,0,2022-10-24,2023-01-30,10.8K,298,270
jadi lah apa saja PRU 15..,@lovebundle56,lovebundle56 ,2,0,2022-10-24,2023-01-30,10.8K,298,270
hidup izzah,@mohdzulkifli9417,Mohd Zulkifli9417 ,0,0,2022-10-24,2023-01-30,10.8K,298,270
steady YB👍👍,@07irfan28,irfan ,1,0,2022-10-24,2023-01-30,10.8K,298,270
Terbaik YB 💪,@terrencepang85,terrencepang85 ,1,0,2022-10-24,2023-01-30,10.8K,298,270
hidup bn..awex bn cun2 lawa2 comel2🥰🥰,@aimanman1023,aiman😘😘man ,1,0,2022-10-24,2023-01-30,10.8K,298,270
radiohead,@along_ramone,Azri Hafez ,0,0,2022-10-24,2023-01-30,10.8K,298,270
Nk sukan pun xtau nk pkai apa...,@mahalley7,Mohd Mahalley Abdul Rahim ,3,0,2022-10-24,2023-01-30,10.8K,298,270
dan2 main badminton..dunia2..,@noty__2,hamba allah ,3,0,2022-10-24,2023-01-30,10.8K,298,270
terbaik YB,@geetaib,geetaib ,1,0,2022-10-24,2023-01-30,10.8K,298,270
bila pru semakin hampir...,@poknik6974,poknik ,4,0,2022-10-24,2023-01-30,10.8K,298,270
she cute,@urmine4272,Maha ,1,0,2022-10-24,2023-01-30,10.8K,298,270
Hahaha nak pru punya pasal baju kurung pun boleh .😂,@tercekikpintuu,Tercekikpintu ,0,0,2022-10-24,2023-01-30,10.8K,298,270
bn terbaik,@joerahim7472,joerahim7472 ,1,0,2022-10-24,2023-01-30,10.8K,298,270
