nickname,username,tweets
Ministry of Finance,@MOFmalaysia,"<div class=""css-901oao r-18jsvk2 r-37j5jr r-a023e6 r-16dba41 r-rjixqe r-bcqeeo r-bnwqim r-qvutc0"" data-testid=""tweetText"" dir=""auto"" id=""id__alil796ayiq"" lang=""in""><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">Saksikan Wawancara MediaMuliaTv Bersama Timbalan Menteri Kewangan l, YB Datuk Seri Haji Ahmad Haji Maslan pada jam 9:00 malam ini.

</span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/Belanjawan2023?src=hashtag_click"" role=""link"">#Belanjawan2023</a></span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0""></span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">
</span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/BelanjawanMADANI?src=hashtag_click"" role=""link"">#BelanjawanMADANI</a></span></div>"
SuaraTV,@suara_tv,"<div class=""css-901oao r-18jsvk2 r-37j5jr r-a023e6 r-16dba41 r-rjixqe r-bcqeeo r-bnwqim r-qvutc0"" data-testid=""tweetText"" dir=""auto"" id=""id__06s84jpxa87w"" lang=""in""><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">""Inisiatif yang diumumkan oleh kerajaan dalam </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">Belanjawan</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">2023</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> untuk menggalakkan lebih ramai anak muda meningkatkan keupayaan dan kemahiran bagi mendapat gaji yang lebih sesuai dan setimpal."" </span><div class=""css-1dbjc4n r-xoduu5""><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/niknazmi"" role=""link"">@niknazmi</a></span></div><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">
</span><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""https://t.co/LnPnuA0veG"" rel=""noopener noreferrer nofollow"" role=""link"" target=""_blank""><span aria-hidden=""true"" class=""css-901oao css-16my406 r-poiln3 r-hiw28u r-qvk6io r-bcqeeo r-qvutc0"">https://</span>suara.tv/03/03/2023/ker<span aria-hidden=""true"" class=""css-901oao css-16my406 r-poiln3 r-hiw28u r-qvk6io r-bcqeeo r-qvutc0"">ajaan-peruntuk-rm40-juta-pekerja-gig-jalani-program-kemahiran/</span><span aria-hidden=""true"" class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-lrvibr r-qvutc0"">…</span></a><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> via </span><div class=""css-1dbjc4n r-xoduu5""><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/suara_tv"" role=""link"">@suara_tv</a></span></div></div>"
Rahmanmohamad,@DSARMOfficial,"<div class=""css-901oao r-18jsvk2 r-37j5jr r-a023e6 r-16dba41 r-rjixqe r-bcqeeo r-bnwqim r-qvutc0"" data-testid=""tweetText"" dir=""auto"" id=""id__9lk8ob6kq2d"" lang=""in""><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">Petang ini berada di pejabat untuk hadir ke satu mesyuarat berkaitan taklimat terperinci pecahan </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">Belanjawan</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> Kementerian Kerja Raya </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">2023</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> yang dibentangkan oleh Menteri Kewangan pada minggu lepas. 

</span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/abdulrahmanmohamad?src=hashtag_click"" role=""link"">#abdulrahmanmohamad</a></span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">
</span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/rahmanmohamad?src=hashtag_click"" role=""link"">#rahmanmohamad</a></span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">
</span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/tokman?src=hashtag_click"" role=""link"">#tokman</a></span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">
</span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/DSARM?src=hashtag_click"" role=""link"">#DSARM</a></span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">
</span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/tokman4mkt?src=hashtag_click"" role=""link"">#tokman4mkt</a></span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">
</span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/KementerianKerjaRaya?src=hashtag_click"" role=""link"">#KementerianKerjaRaya</a></span></div>"
Astro AWANI,@501Awani,"<div class=""css-901oao r-18jsvk2 r-37j5jr r-a023e6 r-16dba41 r-rjixqe r-bcqeeo r-bnwqim r-qvutc0"" data-testid=""tweetText"" dir=""auto"" id=""id__ib5jw8nftg"" lang=""in""><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">Dalam pembentangan </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">Belanjawan</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">2023</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> baru-baru ini antara yang disentuh mengenai kemandirian pengeluaran makanan tempatan melalui automasi dan pendigitalan. Bagaimana ia boleh direalisasikan? Dialog Poket Rakyat, Jumaat 8.30 malam

</span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/AWANInews?src=hashtag_click"" role=""link"">#AWANInews</a></span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> </span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/DialogPoketRakyat?src=hashtag_click"" role=""link"">#DialogPoketRakyat</a></span></div>"
Social Wellbeing Research Centre (SWRC),@SWRC_UM,"<div class=""css-901oao r-18jsvk2 r-37j5jr r-a023e6 r-16dba41 r-rjixqe r-bcqeeo r-bnwqim r-qvutc0"" data-testid=""tweetText"" dir=""auto"" id=""id__g2wai11s19"" lang=""en""><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">""Reaksi </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">Belanjawan</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">2023</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">: GIG Ekonomi"" by SWRC Senior Research Fellow Dr. Zulkiply Omar. 
Please watch the recorded live video at </span><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""https://t.co/ATughWTeiA"" rel=""noopener noreferrer nofollow"" role=""link"" target=""_blank""><span aria-hidden=""true"" class=""css-901oao css-16my406 r-poiln3 r-hiw28u r-qvk6io r-bcqeeo r-qvutc0"">https://</span>fb.watch/j1pJBj3Igq/</a></div>"
Berita Baik,@BeritaBaik_BBN,"<div class=""css-901oao r-18jsvk2 r-37j5jr r-a023e6 r-16dba41 r-rjixqe r-bcqeeo r-bnwqim r-qvutc0"" data-testid=""tweetText"" dir=""auto"" id=""id__sfluy5at3l"" lang=""in""><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">Invest Malaysia </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">2023</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> bincang pendekatan strategik </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">belanjawan</span></div>"
SME Bank,@SME_Bank,"<div class=""css-901oao r-18jsvk2 r-37j5jr r-a023e6 r-16dba41 r-rjixqe r-bcqeeo r-bnwqim r-qvutc0"" data-testid=""tweetText"" dir=""auto"" id=""id__2vjc1irxmtj"" lang=""en""><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">SME Bank to empower social enterprise, ESG adoption among MSMEs.

Full article - </span><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""https://t.co/CmRt4f0ASd"" rel=""noopener noreferrer nofollow"" role=""link"" target=""_blank""><span aria-hidden=""true"" class=""css-901oao css-16my406 r-poiln3 r-hiw28u r-qvk6io r-bcqeeo r-qvutc0"">https://</span>theedgemarkets.com/node/657559</a><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">
</span><div class=""css-1dbjc4n r-xoduu5""><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/CEDARSMEBank"" role=""link"">@CEDARSMEBank</a></span></div><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">
</span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/SMEBank?src=hashtag_click"" role=""link"">#SMEBank</a></span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">
</span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/beyondfinancing?src=hashtag_click"" role=""link"">#beyondfinancing</a></span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">
</span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/Belanjawan2023?src=hashtag_click"" role=""link"">#Belanjawan2023</a></span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0""></span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">
</span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/BelanjawanRakyat?src=hashtag_click"" role=""link"">#BelanjawanRakyat</a></span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">
</span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/EkonomiManusiawi?src=hashtag_click"" role=""link"">#EkonomiManusiawi</a></span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">
</span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/MalaysiaMADANI?src=hashtag_click"" role=""link"">#MalaysiaMADANI</a></span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">
</span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/BelanjawanHarapan?src=hashtag_click"" role=""link"">#BelanjawanHarapan</a></span></div>"
Blank ,@talikecapi,"<div class=""css-901oao r-18jsvk2 r-37j5jr r-a023e6 r-16dba41 r-rjixqe r-bcqeeo r-bnwqim r-qvutc0"" data-testid=""tweetText"" dir=""auto"" id=""id__tici0rceb9"" lang=""in""><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">Sign mou la… Akan sokong sebulah suara </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">belanjawan</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">2023</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">, 2024, 2025, 2026, 2027</span></div>"
KELANTANfm,@KelantanfmRtm,"<div class=""css-901oao r-18jsvk2 r-37j5jr r-a023e6 r-16dba41 r-rjixqe r-bcqeeo r-bnwqim r-qvutc0"" data-testid=""tweetText"" dir=""auto"" id=""id__z5fl1wqdpdi"" lang=""in""><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">Belanjawan</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">2023</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> merupakan langkah pertama yang menelusuri kerangka Pembangunan Malaysia MADANI. </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">Belanjawan</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">2023</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> menumpukan kepada 12 ikhtiar utama berlandaskan tiga tekad.

</span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/KELANTANfm?src=hashtag_click"" role=""link"">#KELANTANfm</a></span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">
</span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/PenuhiCitaRasaAnda?src=hashtag_click"" role=""link"">#PenuhiCitaRasaAnda</a></span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">
</span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/yangsahihhanyadiRTM?src=hashtag_click"" role=""link"">#yangsahihhanyadiRTM</a></span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">
</span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/MalaysiaMadani?src=hashtag_click"" role=""link"">#MalaysiaMadani</a></span></div>"
Kem. Sumber Manusia,@myksm,"<div class=""css-901oao r-18jsvk2 r-37j5jr r-a023e6 r-16dba41 r-rjixqe r-bcqeeo r-bnwqim r-qvutc0"" data-testid=""tweetText"" dir=""auto"" id=""id__09wxpg9zc7qk"" lang=""in""><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">Belanjawan</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> Madani </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">2023</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> Kementerian Sumber Manusia

Antara inisiatif Kerajaan kepada rakyat Malaysia Madani :-

- TVET dipacu industri
- Galakan pekerjaan dengan pendapatan setimpal
- Meningkatkan keupayaan dan kemahiran

</span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/kementeriansumbermanusia?src=hashtag_click"" role=""link"">#kementeriansumbermanusia</a></span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">
</span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/MalaysiaMADANI?src=hashtag_click"" role=""link"">#MalaysiaMADANI</a></span></div>"
PTPK ,@PTPK_Official,"<div class=""css-901oao r-18jsvk2 r-37j5jr r-a023e6 r-16dba41 r-rjixqe r-bcqeeo r-bnwqim r-qvutc0"" data-testid=""tweetText"" dir=""auto"" id=""id__q224dv2658f"" lang=""in""><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">APAKAH YANG ANDA PERLU TAHU BERKAITAN PEMERKASAAN TVET SEMASA PEMBENTANGAN </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">BELANJAWAN</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">2023</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> YANG LALU?</span></div>"
KPKT,@kpkt_gov,"<div class=""css-901oao r-18jsvk2 r-37j5jr r-a023e6 r-16dba41 r-rjixqe r-bcqeeo r-bnwqim r-qvutc0"" data-testid=""tweetText"" dir=""auto"" id=""id__z24s4rembte"" lang=""in""><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">BICARA NARATIF : BAJET KPKT </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">2023</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> MENSEJAHTERA RAKYAT
KPKT menyambut baik pembentangan </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">Belanjawan</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">  yang dilihat baik untuk kesejahteraan rakyat. Ia menyaksikan satu pelan hala tuju Kerajaan yang strategik sekali gus memperkasa agenda Malaysia MADANI
</span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/MalaysiaMadani?src=hashtag_click"" role=""link"">#MalaysiaMadani</a></span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> </span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/Belanjawan2023?src=hashtag_click"" role=""link"">#Belanjawan2023</a></span></div>"
Media Komunikasi Nasional,@mykomnasional,"<div class=""css-901oao r-18jsvk2 r-37j5jr r-a023e6 r-16dba41 r-rjixqe r-bcqeeo r-bnwqim r-qvutc0"" data-testid=""tweetText"" dir=""auto"" id=""id__9a0ynxmvvpr"" lang=""in""><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">Belanjawan</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">2023</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> : Memperkasakan KPKT dengan dana RM5.3 billion - Menteri KPKT

Full :
</span><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""https://t.co/aqKj2zyPwf"" rel=""noopener noreferrer nofollow"" role=""link"" target=""_blank""><span aria-hidden=""true"" class=""css-901oao css-16my406 r-poiln3 r-hiw28u r-qvk6io r-bcqeeo r-qvutc0"">https://</span>vt.tiktok.com/ZS8x2HeVC/</a><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">
</span><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""https://t.co/0Zj5uD5Qft"" rel=""noopener noreferrer nofollow"" role=""link"" target=""_blank""><span aria-hidden=""true"" class=""css-901oao css-16my406 r-poiln3 r-hiw28u r-qvk6io r-bcqeeo r-qvutc0"">https://</span>youtu.be/cmwa4iYhjOw</a><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">
</span><div class=""css-1dbjc4n r-xoduu5""><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/NgaKorMing"" role=""link"">@NgaKorMing</a></span></div></div>"
Excel Easy,@ExcelEasy,"<div class=""css-901oao r-18jsvk2 r-37j5jr r-a023e6 r-16dba41 r-rjixqe r-bcqeeo r-bnwqim r-qvutc0"" data-testid=""tweetText"" dir=""auto"" id=""id__xgtqaanylc"" lang=""en""><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">Learn how to use </span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/Excel?src=hashtag_click"" role=""link"">#Excel</a></span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">. 100% free.</span></div>"
JapenPhg,@JapenPahang,"<div class=""css-901oao r-18jsvk2 r-37j5jr r-a023e6 r-16dba41 r-rjixqe r-bcqeeo r-bnwqim r-qvutc0"" data-testid=""tweetText"" dir=""auto"" id=""id__z530pp3zzfm"" lang=""in""><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">7 INTIPATI | INISIATIF KKD | </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">BELANJAWAN</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">2023</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">.

Ketahui intipati Kementerian Komunikasi Dan Digital di bawah </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">Belanjawan</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">2023</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> dengan lebih jelas.

</span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/KKD?src=hashtag_click"" role=""link"">#KKD</a></span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">
</span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/Belanjawan2023?src=hashtag_click"" role=""link"">#Belanjawan2023</a></span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0""></span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">
</span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/MalaysiaMADANI?src=hashtag_click"" role=""link"">#MalaysiaMADANI</a></span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">
</span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/JabatanPenerangan?src=hashtag_click"" role=""link"">#JabatanPenerangan</a></span></div>"
