comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link
betul sangat,@user9077883205758,user9077883205758 ,0,0,2023-2-3,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
terbaik kata hati awak terus kan kami sokong,@user7723943934483,alalatu ,0,0,1d ago ,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
terbaik sis🥰🥰🥰,@malekabdullah29,malekabdullah29 ,0,0,1d ago ,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
tak pe lah biar Nuzul Izzah buat kerja dia sekurangnya dapat juga hidu penyelewengan wang rakyat yang di lakukan kerjaan yg lepas itu kira dah bagus,@razimanomar,razimanomar ,2,1,1d ago ,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
"Terbaik,,, pencerahan, mna yg tk betul tu patut ditegur,,, teruskan",@lanjj646,Lan Vending ,0,0,2d ago ,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
kalu ada hati dari pada mambawang bagus isi borang gati nurul izah dari pada buang masa😁😁😁😁,@roseemik,Rose ,1,0,2d ago ,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
betul saya sokong ph😁😁😁,@sorazalisulaiman,waklee jb ,4,0,2d ago ,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
PH the best,@63theva,Theva ,4,0,2d ago ,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
masalahnya mampukah org lain terima jawatan tanpa gaji,@appleapplenobita,appleapplenobita ,2,1,2d ago ,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
Sape ni,@ayub65rahman,Ayub65rahman ,1,0,2d ago ,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
"that's true dik,
abg agree with u,
im also from party amanah.
This is government not sdn.bhd.
DSAI where your own rules and regulation Before.",@azlanjaaffar,AJ ,3,0,2d ago ,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
Betul dik.. Stuju,@elmey7371,PelautSenja ,2,0,2d ago ,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
we who are with DSAI are all in one family KITA BOLEH PH 💯💪,@williamkumar54,William Kumar ,0,0,2d ago ,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
terbaik dik.pak cik sokong ssangat...,@ayhmay2,ayhmay2 ,2,0,2d ago ,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
