comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,sentiment,video_caption
setuju kak.. masa kempen dulu banyak isu yg dia pertikai tp sekarang dia yg buat.lepas ni xtau apa plak,@jango1391,husseni ,8,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,negative,test
klu orang kena bayar pm10 nak jimat duit,@norazah177,norazah177 ,0,0,"Tuesday, 7 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,negative,test
betul-betul sy setuju apa awak ckp,@sinaranmentari193,sinaranmentari193 ,0,0,"Monday, 6 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,negative,test
Saya x nampak lg team dsai ni buat apa,@rosemohd71,Rose Mohd ,0,0,"Monday, 6 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,negative,test
"Sangat setuju N Izzah dilantik sebagai penasihat, save kos, pola fikir, penyelesaian, baikpulih, intagriti, kreatif dan masi muda dpt bantu bapanya",@ahmadjasnijas,Ahmad Jasni Jas ,1,0,"Sunday, 5 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,negative,test
cant agree more 🙂,@marlinkhalid,marlinkhalid ,0,0,"Sunday, 5 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,negative,test
Kak part berlakon “Izzah… papa “ tu comel 😂😂,@mymyrul,mymyrul ,0,0,"Sunday, 5 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,negative,test
betul tu.....,@lahhassan33,Abdullah Hassan ,0,0,"Sunday, 5 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,negative,test
betul sangat,@ruhainitamohdnor,Ruhainita Mohd nor ,0,0,"Saturday, 4 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,negative,test
setuju sgt..,@faridahibrahim18,Faridahibrahim ,0,0,"Saturday, 4 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,negative,test
yg ckp tu bukan apa sis takut kena pecat,@nor50372,nor ,0,0,"Saturday, 4 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,neutral,test
tahniah PMX dan Nurul Izzah ...teruskan kerja2 baik dan abaikan semua kritikan yang tak membina,@dssprit,ouvert d'esprit ,1,0,"Saturday, 4 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,positive,test
Betul tu...👍,@senyumsokmo33,upinipin ,0,0,"Saturday, 4 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,negative,test
saya sokong,@rohanimohdsaat,amy ,0,0,"Saturday, 4 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,negative,test
😂😂😂😂,@akuahad,AkuAhad ,0,0,"Saturday, 4 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,negative,test
Setuju sgt...100% hujah U.....,@mawarberduri993,Nor Mala ,0,0,"Saturday, 4 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,negative,test
kalu bagi peluang la... che kak ni boleh ke kerja tanpa dapat gaji mcm izah tu,@roslihashim852,roslihashim852 ,1,0,"Saturday, 4 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,negative,test
betul sangat,@user9077883205758,user9077883205758 ,0,0,"Saturday, 4 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,negative,test
terbaik kata hati awak terus kan kami sokong,@user7723943934483,alalatu ,0,0,"Friday, 3 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,positive,test
terbaik sis🥰🥰🥰,@malekabdullah29,malekabdullah29 ,0,0,"Friday, 3 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,positive,test
tak pe lah biar Nuzul Izzah buat kerja dia sekurangnya dapat juga hidu penyelewengan wang rakyat yang di lakukan kerjaan yg lepas itu kira dah bagus,@razimanomar,razimanomar ,2,1,"Friday, 3 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,negative,test
"Terbaik,,, pencerahan, mna yg tk betul tu patut ditegur,,, teruskan",@lanjj646,Lan Vending ,0,0,"Friday, 3 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,negative,test
kalu ada hati dari pada mambawang bagus isi borang gati nurul izah dari pada buang masa😁😁😁😁,@roseemik,Rose ,1,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,positive,test
betul saya sokong ph😁😁😁,@sorazalisulaiman,waklee jb ,4,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,negative,test
PH the best,@63theva,Theva ,4,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,positive,test
masalahnya mampukah org lain terima jawatan tanpa gaji,@appleapplenobita,appleapplenobita ,2,1,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,positive,test
Sape ni,@ayub65rahman,Ayub65rahman ,1,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,neutral,test
"that's true dik,
abg agree with u,
im also from party amanah.
This is government not sdn.bhd.
DSAI where your own rules and regulation Before.",@azlanjaaffar,AJ ,3,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,neutral,test
Betul dik.. Stuju,@elmey7371,PelautSenja ,2,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,positive,test
we who are with DSAI are all in one family KITA BOLEH PH 💯💪,@williamkumar54,William Kumar ,0,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,positive,test
terbaik dik.pak cik sokong ssangat...,@ayhmay2,ayhmay2 ,2,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,positive,test
nk cari lebih,@aznanosman532,aznanosman532 ,0,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,negative,test
😁😁😁,@aninodri,@aninodri♥️ ,0,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,negative,test
"why worry, is the time now. She can access to the files n record now.....",@norashahriza,norashahriza ,0,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,neutral,test
kalau dia ambil gaji mau sebulan du jaja😁😁😁,@awangdone,Awang Done ,0,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,negative,test
why Nurul is capable - DSAI is busy need somebody he trust to assist him,@ramdanj3135,Ramdan J ,3,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,neutral,test
"xape, biar lah izah duk pejabat, boleh jgk tengok2 sapa2 yg ponteng semasa2 dsai kerja luar",@roslihashim852,roslihashim852 ,1,0,"Saturday, 4 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,negative,test
dia ada pengalaman ajk kes 1mdb yg tiada pd org lain,@azmanjaafar95,azmanjaafar95 ,0,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,negative,test
tanpa gaji laaaaaaaa lu pikir laaaaa apa laaaaa,@sailor815924,sailor815924 ,0,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,negative,test
Setuju dgn u sis..,@imah_mohdali59,ImahMohdAli ,0,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,negative,test
"Good rasional thinking, Malayaia do not lack of talent, without salary is just deception for public to swallow",@zarilaz,Zar-Rajawali ,0,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,positive,test
Mmg ramai yg layak tp nak ke orgtu bekerja tanpa gaji,@uminurul4775,ZAR INa ,2,2,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,negative,test
setuju kak,@uchiamadara456,uchiamadara456 ,0,0,"Saturday, 4 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,positive,test
terbaik,@sazali__,sazali ,0,0,"Saturday, 4 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,positive,test
"Subhanallah MasyaAllah Tabarakallah Allahuakbar
Alhamdulillah",@user9249481984532,mai 66 ,0,0,"Friday, 3 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,negative,test
setuju Kak...,@arnasnasution452,arnasnasution452 ,0,0,"Friday, 3 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,positive,test
Setuju👍👍👍,@wanazrul82,WanAzrul82 ,0,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,negative,test
Tak salah lantik anak...krn belum lg mendatangkan mudharat. lg pun musuh politik berada di mna2,@baimuaz,BAI MUAZ ,2,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,negative,test
Anak beranak kemaruk jawatan tertinggi dlm kerajaan...,@ezzibrahim_,Ezz Ibrahim_ ,0,0,"Tuesday, 7 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,neutral,test
setuju dgn awak,@fynatai,Fynatai ,0,0,"Monday, 6 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,positive,test
setuju sangat..,@noralaida,Noralaida ,0,0,"Sunday, 5 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,negative,test
😂😂😂😂😂,@mohamadmokhtar271,mohamadmokhtar271 ,0,0,"Saturday, 4 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,negative,test
Yes your statmen is true.I and many more natizen too.,@md.kassim,Md.Kassim ,0,0,"Saturday, 4 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,positive,test
Sebab sebelum ni hg tak kenal anwar... ramai yg dah kenal...come on la,@fadzil977,fadzil977 ,0,0,"Saturday, 4 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,positive,test
yabedabedu.. horey2 hip2 horey.. waa caya luu 😁,@muzaidisaid,muzaidisaid ,0,0,"Saturday, 4 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,positive,test
klu bagi kat orang lain nanti pihak pembangkang akan rasuah untuk mendapatkan maklumat.. lagi satu.. mak cik ni boleh ke bekerja tampa ada gaji..,@mora42345,MoRaz ,0,0,"Saturday, 4 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,positive,test
mesti walaun ni...😅😂🤣,@amsyar_mz,AMsyaR ,0,0,"Saturday, 4 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,positive,test
:mari kita tumbangkan DSAI d PRU yg akan dtg.. 5 tahun jak pun.. buat masa ini kita biarkan dia dulu mentadbir negara... jgn dulu kacau dia..,@sb8935d,Che DELL HB ,0,0,"Saturday, 4 February, 2023",7/2/2023,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,305,151,93,"Thursday, 2 February, 2023",12.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675767600&x-signature=oOjpZAT9wWhWuA6cjpgfp93wYL4%3D,positive,test
