comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,sentiment,video_caption
tgh gila kuasa tuuu...biar lah kita tengok jaaa,@noraledang,noraledang ,0,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,negative,test
Neopotism?? 🗿🗿🗿,@princeeaster94,Wak Maun ,0,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,negative,test
😂😂😂,@kemanusian01,suarahatiku🗣🗣🗣 ,0,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,negative,test
dia sembang kari semua kena hancing basah kepala😂😂😂,@faruqholiks,AjiFishinG ,0,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,negative,test
yg sorg lantik ikut suka family.... sy sorg pecat/gantung suke2... ha kene kene kene kene kene....,@user9613423360824,user9613423360824 ,0,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,neutral,test
selama ni saya perhati je...,@awinkhairul,Norin Ayub ,0,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,positive,test
saya cadangkan lantik cucu dia sbg penasihat pendidikan awal kanak2...elaun choki2 2 pack je sebulan....hahahaha,@nazmimed,NazmiMed ,0,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,neutral,test
"x berbayar tapi perjalanan boleh claim,aset negara boleh guna . dan etc",@dewanbersalinmuslimahpng,Mohamad Fairuz ,0,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,positive,test
"maaf kalau saya ckp ni ada yg terasa,,PMX dh mula hilng prinsip bila lantik TPM org yg byk kes mahkamah sedangkn dlm umno rmai lgi yg sesuai jwtn tu☺",@muhamad_amir505,Muhamad_Amir505 ,0,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,negative,test
nanti semua team family dia yang tadbir negara😂,@norlaila822,norlaila822 ,0,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,negative,test
Parti anak beranak,@hulkmucho,Hulk Mucho ,0,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,negative,test
Terbaik DSai,@rashidimohd0,rashidimohd74 ,0,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,positive,test
👍👍👍,@rockkapak313,CDEE TCM ,0,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,negative,test
😂😂😂,@zulkifflihusin,Zulkiffli Husin ,0,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,negative,test
betul betul .........dah kalah dapat jawatan,@mamabapamamabapa,mamabapa mamabapa ,0,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,neutral,test
dye lupa kot😂😂😂,@amirunn91,Amirunn91 ,0,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,negative,test
pandai2 ler kite sma2 fikir ya 😌😌😌,@wanysamah,Wany✌️ ,1,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,negative,test
Tanya lah agong ko bang....,@asofijikan.official,HM tonyhawk ,0,0,"Thursday, 2 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,neutral,test
wow one family 😳,@nongfirra,💚Nong🇲🇾firra💚 ,0,0,"Wednesday, 1 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,neutral,test
Anak branak jaga? 😳,@schaalidarus,Scha Basree ,0,0,"Wednesday, 1 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,positive,test
klu Amno lagi jahanam don ckp manis .di blkang duit negra abik di kebas .,@user3613284768290,user3613284768290 ,0,0,"Wednesday, 1 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,positive,test
"Bukan Ahmad Maslan dah ada ke, Steven lg…ke takleh pkai",@cheqim_premium,CheQim Shark Du Du ,0,0,"Wednesday, 1 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,neutral,test
Anuar Ibrahim terbaik 👍👍,@shahrulfais593,shahrulfais593 ,0,0,"Wednesday, 1 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,positive,test
25%,@cjebatderhaka,rosli ,0,0,"Wednesday, 1 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,negative,test
dy je bole org lain x bole😂,@saudagar_ps2,GM omar ,0,0,"Wednesday, 1 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,negative,test
DSAI terbaik,@reapernomercy,...... ,0,0,"Wednesday, 1 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,positive,test
apa2 pun semoga negara semakin maju terbaik dato seri Anwar,@rosilah2701,rosilah2701 ,0,2,"Wednesday, 1 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,positive,test
